Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,1019,944.68,934,899.41,1600,1552.71,776,753.78,116,113.66,0,0,"4,445","4,264.24",197,194.34,15,15,189,188,0,0,401,397.34,"4,846","4,661.58","£11,123,849.66","£216,478.73","£173,740.00","£70,876.64","£2,214,583.74","£996,996.28","£14,796,525.05","£2,152,994.52","£910,355.10","£3,063,349.62","£17,859,874.67",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13684,11973.51,3065,2861.65,2496,2316.89,638,622.1,33,33,0,0,"19,916","17,807.15",(..),(..),0,0,0,0,0,0,(..),(..),(..),(..),"£33,651,278.22","£580,654.82","£141,113.99","£342,835.03","£5,828,411.20","£2,228,966.26","£42,773,259.52","£1,044,252.31",£0.00,"£1,044,252.31","£43,817,511.83",Agency data not available by the deadline set
National Archives,Executive Agency,Ministry of Justice,192,171.88,125,119.53,261,253.68,62,61.16,6,6,0,0,646,612.25,6,4.6,0,0,14,13,0,0,20,17.6,666,629.85,"£1,523,737.24","£5,140.19","£7,651.00","£21,482.27","£271,392.81","£149,495.07","£1,978,898.58","£67,008.75","£10,000.00","£77,008.75","£2,055,907.33",
National Offender Management Service,Executive Agency,Ministry of Justice,34196,32635.34,6324,6049.8,3700,3462.45,624,608.72,38,37.88,0,0,"44,882","42,794.19",(..),203.84,0,0,25,25,4,4,(..),232.84,(..),"43,027.03","£98,574,559.60",£0.00,£0.00,"£4,232,168.60","£18,956,973.16","£7,636,591.01","£129,400,292.37","£2,665,335.39","£8,657.55","£2,673,992.94","£132,074,285.31",Agency Headcount not collected only FTE available
The Office of the Public Guardian,Executive Agency,Ministry of Justice,287,269.83,139,132.45,65,63.39,10,9.82,2,1.78,0,0,503,477.27,182,129.87,0,0,0,0,1,0.45,183,130.32,686,607.59,"£998,466.85","£20,959.22",£800.00,"£62,809.82","£163,291.37","£72,932.68","£1,319,259.94","£87,486.56",£0.00,"£87,486.56","£1,406,746.50","Agency figure includes adjustment for prior month, Agency FTE lower due to extra holidays in June. Qtr overall matches last year."
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,73,67.38,73,67.38,3,3,0,0,0,0,0,0,3,3,76,70.38,"£195,544.00",£57.00,£0.00,£0.00,"£35,835.00","£16,056.00","£247,492.00","£7,517.00",£0.00,"£7,517.00","£255,009.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,359,333.69,359,333.69,22,20.9,0,0,0,0,0,0,22,20.9,381,354.59,"£730,179.70",£857.65,£0.00,"£7,502.02","£133,467.13","£51,492.03","£923,498.53","£37,393.24",£0.00,"£37,393.24","£960,891.77",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,11,11,20,19,22,21.69,14,13.2,3,3,1,0.4,71,68.29,0,0,0,0,0,0,0,0,0,0,71,68.29,"£200,188.28","£3,174.29",£300.00,£0.00,"£38,585.82","£17,438.47","£259,686.86",£0.00,£0.00,£0.00,"£259,686.86",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,29,29,29,29,0,0,0,0,0,0,0,0,0,0,29,29,"£138,524.57",£0.00,£0.00,£0.00,"£30,601.80","£16,533.02","£185,659.39",£0.00,£0.00,£0.00,"£185,659.39","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,791,746.97,264,254.3,397,380.71,102,100.27,16,10.2,0,0,"1,570","1,492.45",44,41.6,0,0,70,68.83,0,0,114,110.43,"1,684","1,602.88","£3,517,080.43",£0.00,£0.00,"£95,532.57","£21,956.28","£279,782.18","£3,914,351.46","£730,617.17",£0.00,"£730,617.17","£4,644,968.63",
