Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,160,147.57,236,228.93,651,637.46,645,625.94,123,120.05,0,0.00,"1,815","1,759.95",19,19.00,0,0.00,113,102.48,0,0.00,132,121.48,"1,947","1,881.43","£7,263,963.14","£28,469.13","£68,347.36","£87,125.15","£1,415,572.09","£662,821.71","£9,526,298.58","£770,820.59","£2,036,721.54","£2,807,542.13","£12,333,840.71"
Driving Standards Agency,Executive Agency,Department for Transport,219,179.87,"1,681","1,559.44",293,288.01,38,37.83,0,0.00,0,0.00,"2,231","2,065.15",13,13.00,0,0.00,0,0.00,0,0.00,13,13.00,"2,244","2,078.15","£4,593,743.64","£123,237.61","£1,290.00","£185,443.09","£880,197.71","£306,880.04","£6,090,792.09","£78,417.48","£6,268.96","£84,686.44","£6,175,478.53"
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,"4,250","3,696.67",746,696.56,599,566.24,133,127.69,7,7.00,0,0.00,"5,735","5,094.16",0,0.00,1,0.90,2,1.65,0,0.00,3,2.55,"5,738","5,096.71","£9,201,647.00","£79,298.00","£3,402.00","£279,267.00","£1,641,756.00","£582,940.00","£11,788,310.00","£32,927.00","£76,051.00","£108,978.00","£11,897,288.00"
Highways Agency,Executive Agency,Department for Transport,"1,403","1,354.47",403,381.30,"1,467","1,419.53",360,348.18,35,34.17,0,0.00,"3,668","3,537.66",0,0.00,148,29.76,0,0.00,0,0.00,148,29.76,"3,816","3,567.42","£8,866,492.01","£658,172.76","£9,402.93","£87,694.58","£2,055,866.23","£780,239.27","£12,457,867.78","£1,006,227.36",£0.00,"£1,006,227.36","£13,464,095.14"
Maritime and Coastguard Agency,Executive Agency,Department for Transport,406,378.92,191,184.29,357,339.33,109,105.62,5,4.54,0,0.00,"1,068","1,012.70",17,17.00,0,0.00,0,0.00,0,0.00,17,17.00,"1,085","1,029.70","£2,505,264.86","£261,549.40","£3,142.00","£170,322.98","£538,477.49","£235,459.56","£3,714,216.29","£81,970.72",£0.00,"£81,970.72","£3,796,187.01"
Vehicle Certification Agency,Executive Agency,Department for Transport,40,35.05,40,37.80,77,75.25,7,7.00,1,1.00,0,0.00,165,156.10,4,4.00,0,0.00,0,0.00,0,0.00,4,4.00,169,160.10,"£492,932.00","£11,121.00","£25,300.00","£7,826.00","£88,547.00","£40,538.00","£666,264.00","£14,419.00",£0.00,"£14,419.00","£680,683.00"
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,"1,027",964.41,770,751.35,426,417.61,45,44.15,5,5.00,0,0.00,"2,273","2,182.52",71,69.52,8,8.00,60,60.00,0,0.00,139,137.52,"2,412","2,320.04","£4,598,235.22","£361,757.83","£5,570.00","£429,544.90","£920,039.40","£404,182.25","£6,719,329.60","£379,599.51","-£2,155.76","£377,443.75","£7,096,773.35"
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,2,2.00,8,7.80,1,1.00,2,2.00,0,0.00,13,12.80,0,0.00,0,0.00,1,0.60,0,0.00,1,0.60,14,13.40,"£40,172.00","£3,512.00",£0.00,£0.00,"£5,904.00","£4,291.00","£53,879.00",£0.00,£306.00,£306.00,"£54,185.00"
