Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,172,160.74,225,218.32,686,672.25,649,624.17,122,118.76,0,0,"1,854","1,794",15 ,15.00,1 ,1.00,106 ,96.16,1 ,1.00,123,113.16,"1,977","1,907","œ8,718,110.57","œ31,036.40","œ1,802,034.40","œ142,527.16","œ1,715,355.83","œ911,140.06","œ13,320,204.42",1014287.32,326066.66,"œ1,340,353.98","œ14,660,558.40",
Driving Standards Agency,Executive Agency,Department for Transport,229,191.81,1776,1666.68,214,209.76,43,42.45,2,2.00,0,0,"2,264","2,113",5.00,5.00,2.00,2.00,0.00,0.00,0.00,0.00,7,7,"2,271","2,120","œ1,172,415.94","œ108,905.48",-œ472.36,"œ124,531.35","œ1,119,521.63","œ912,506.70","œ3,437,408.74",11303.45,,"œ11,303.45","œ3,448,712.19",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4124,3636.33,725,686.88,586,566.69,128,123.98,5,5.00,0,0,"5,568","5,019",0,0,3,3,3,2.6,0,0,6,5.6,"5,574","5,024","œ17,212,118.00","-œ158,456.00","œ4,179.00","œ544,222.00","œ2,080,396.00","œ1,678,303.00","œ21,360,762.00","œ124,554.00","-œ534,449.00","-œ409,895.00","œ20,950,867.00",
Highways Agency,Executive Agency,Department for Transport,1377,1329.53,336,318.07,1387,1339.20,334,323.86,37,36.19,0,0,"3,471","3,347",0,0,81,27.19,0,0,0,0,81,27.18783784,"3,552","3,374","œ11,958,857.82","œ848,575.82","œ387,595.80","œ155,873.37","œ1,989,512.93","œ902,941.60","œ16,243,357.34","œ609,218.22",,"œ609,218.22","œ16,852,575.56",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,433,397.92,226,213.54,299,276.04,109,106.68,6,6.00,0,0,"1,073","1,000",31,31,0,0,0,0,0,0,31,31,"1,104","1,031","œ3,267,230.14","œ254,928.58",œ0.00,"œ214,668.56","œ653,004.58","œ347,254.04","œ4,737,085.90","œ106,765.31","œ184,354.19","œ291,119.50","œ5,028,205.40",
Vehicle Certification Agency,Executive Agency,Department for Transport,40,33.52,36,34.45,75,73.2,11,11,1,1,0,0,163,153,4,4,0,0,0,0,0,0,4,4,167,157,"œ1,612,326.00","œ10,559.00",,"œ25,244.00","œ122,827.00","œ95,748.00","œ1,866,704.00","œ20,958.45",,"œ20,958.45","œ1,887,662.45",
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1024,958.12,792,775.8,406,400.79,42,41.95,4,4,0,0,"2,268","2,181",39,38.17,13,13,24,24,0,0,76,75.17,"2,344","2,256","œ5,927,975.36","œ308,572.75","œ7,615.00","œ392,553.00","œ1,139,288.00","œ554,559.00","œ8,330,563.11","œ581,485.09","œ656,444.22","œ1,237,929.31","œ9,568,492.42",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,5,5,3,3,2,1.5,0,0,11,11,0,0,0,0,2,2,0,0,2,2,13,13,"œ42,921.56","œ3,929.32",,,"œ5,548.50","œ4,017.68","œ56,417.06","œ112,449.54","œ14,612.51","œ127,062.05","œ183,479.11",
