Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Avergae No. of Payroll staff,,,,,,,,,,,,,,Average No. of Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Annual total of Payroll staff costs,,,,,,,Annual total of Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Business, Innovation and Skills (core)",Ministerial Department,"Department for Business, Innovation and Skills",104.0,98.4,314.5,304.0,924.6,900.8,984.5,943.6,190.3,181.8,1.9,1.9,2519.8,2430.4,23.8,23.8,2.8,2.8,39.1,39.1,14.8,14.7,80.5,80.4,2600.3,2510.8,"£106,954,891.67","£4,041,179.17","£1,152,914.72","£520,307.00","£23,288,464.20","£10,162,051.04","£146,119,807.80","£3,140,625.00","£4,139,102.00","£7,279,727.00","£153,399,534.80",,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",39.2,37.8,83.2,82.2,256.3,252.8,182.0,180.3,23.1,22.3,3.7,3.7,587.3,579.0,19.3,19.3,1.1,1.1,77.3,77.3,12.3,12.3,110.0,109.9,697.3,688.9,"£21,971,285.37","£423,856","£145,155.00","£40,797.71","£4,573,516.71","£1,965,895.75","£29,120,506.90","£3,931,326.00","£531,434.00","£4,462,760.00","£33,583,266.90",,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",54.8,48.3,266.1,243.5,490.1,449.4,38.9,36.6,2.6,2.6,2.0,1.2,854.5,781.5,16.5,16.5,0.0,0.0,0.0,0.0,4.0,4.0,20.5,20.5,875.0,802.0,"£25,622,770.25","£215,964.62",£0.00,"£160,159.29","£5,170,513.64","£1,972,366.76","£33,141,774.56","£429,970.10","£396,170.11","£826,140.21","£33,967,914.77",,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",5.1,4.9,33.1,31.4,53.4,50.8,10.3,10.1,3.3,2.8,0.0,0.0,105.1,100.1,0.2,0.2,0.0,0.0,5.2,5.0,0.0,0.0,5.3,5.1,110.4,105.2,"£3,317,943.14","£43,777.21","£75,999.28","£4,565.44","£783,402.85","£233,050.90","£4,458,738.82","£429,982.03",£0.00,"£429,982.03","£4,888,720.85",,
Biotechnology and Biological Sciences Research Council,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",110.8,99.0,173.9,162.4,411.8,389.7,115.8,107.8,26.8,25.5,1.1,1.1,840.4,785.4,2.7,2.2,0.4,0.4,0.4,0.4,0.4,0.1,3.8,3.1,844.2,788.4,"£28,537,575.10","£635,484.02","£261,449.84","£211,236.15","£7,331,558.06","£2,401,551.05","£39,378,854.22","£74,743.63","£30,000.00","£104,743.63","£39,483,597.85",,
Companies House,Executive Agency,"Department for Business, Innovation and Skills",456.4,399.5,257.9,245.3,132.6,129.4,31.9,30.9,4.6,4.6,1.0,0.6,884.4,810.3,3.3,2.9,0.0,0.0,0.0,0.0,19.2,19.2,22.4,22.0,906.8,832.3,"£21,215,471.68","£359,170.94","£1,428,847.20","£592,850.89","£4,459,391.41","£1,695,314.83","£29,751,046.95","£120,883.65","£1,847,487.39","£1,968,371.04","£31,719,417.99",,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",442.3,412.4,642.6,627.6,329.9,324.1,21.5,21.5,5.0,5.0,0.0,0.0,1441.3,1390.6,59.5,45.9,1.6,1.1,53.4,42.6,4.8,1.4,119.3,90.9,1560.6,1481.6,"£42,477,221.23","£2,184,565.60","£498,000.00","£500,879.14","£5,388,419.76","£3,797,147.41","£54,846,233.14","£5,521,532.96","£158,041.83","£5,679,574.79","£60,525,807.93",,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",3.5,3.5,1.3,1.2,6.0,5.6,3.3,3.3,1.0,1.0,0.0,0.0,15.1,14.7,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,15.6,15.2,"£627,264.78",£0.00,"£13,165.00",£0.00,"£135,735.07","£55,296.13","£831,460.98","£17,914.50","£5,215.00","£23,129.50","£854,590.48",,
