Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,111,105.44,743,715.19,1920,1852.45,1322,1260.02,177,166.4,,,4273,4099.5,57,53.82,,,76,76,,,133,129.82,4406,4229.32,,,,,,,0,,,0,0,"Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE.  In previous monthly workforce MI returns, only Hays agency staff were recorded.  From April 2012 onwards, agency staff from both Reed and Hays will be recorded and from May 2014 Brook Street information will be recorded."
Education & Skills Funding Agency ,Executive Agency,Department for Education,50,47.36,199,191.85,702,675.76,653,639.52,44,43.34,,,1648,1597.83,13,13,6,6,524,513.95,,,543,532.95,2191,2130.78,,,,,,,0,,,0,0,
Teaching Regulation Authority,Executive Agency,Department for Education,12,11.61,24,23.27,21,20.04,7,6.87,1,1,,,65,62.79,1,1,0,0,0,0,0,0,1,1,66,63.79,,,,,,,0,,,0,0,
Standards and Testing Agency,Executive Agency,Department for Education,,,22,21.18,72,70.64,31,29.56,4,3.92,,,129,125.3,3,3,,,19,13.9,1,0.4,23,17.3,152,142.6,,,,,,,0,,,0,0,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,4,4,3,3,12,11.4,9,8.6,3,2.8,,,31,29.8,,,,,,,,,0,0,31,29.8,112573.66,1272.04,,,25350.52,12526.71,151722.93,,,0,151722.93,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,,,16,15,112,107,59,55.7,12,12,,,199,189.7,2,2,3,2.6,,,,,5,4.6,204,194.3,659291,13832,0,635,144754,73536,892048,34688,0,34688,926736,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,372,338.6,583,568.4,298,293.8,22,21.7,6,6,0,0,1281,1228.5,106,84.3,0,0,76,41.6,1,0.6,183,126.5,1464,1355,3246155.31,189292.97,960,35150.33,432660.44,324524.34,4228743.39,721215.97,3407.48,724623.45,4953366.84,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,9,9,26,25,20,20,5,5,,,,,60,59,,,,,,,,,0,0,60,59,224800,23019,0,0,32640,26348,306807,,,0,306807,
Office for Students,Executive Non-Departmental Public Body,Department for Education,28,24.31,8,7.1,199,182.44,112,100.62,27,26.53,,,374,341,12,12,,,13,13,,,25,25,399,366,1143700.88,12297.44,0,738.36,244356.06,123192.1,1524284.84,174054.12,0,174054.12,1698338.96,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2067,1960.9976,907,877.2544267,191,187.0066667,26,25.6,4,3.8,0,0,3195,3054.658693,11,11,0,0,23,23,0,0,34,34,3229,3088.658693,5938769.4,174795.85,8882.75,218491.18,676682.38,551119.46,7568741.02,191035.4,0,191035.4,7759776.42,
Institute for Apprenticeships,Executive Non-Departmental Public Body,Department for Education,5,5,5,5,22,21.5,65,60.1,9,9,,,106,100.6,6,5.29,,,,,,,6,5.29,112,105.89,430090.55,,,,90232,49428.83,569751.38,47826.96,,47826.96,617578.34,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,1,1,1,1,50,49.5,52,51.5,1,1,,,,,,,1,1,53,52.5,285087.62,,,,11599.38,30100.93,326787.93,1880.38,,1880.38,328668.31,
