Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Department of Health (excl agencies),Ministerial Department,Department of Health,255,248.14,38,37.55,662,644.73,649,621.58,128,123.74,,,"1,732","1,676",29,29,,,,,15,14.61,44,43.61,"1,776","1,719","£5,972,629.14","£2,059.92","£388,075.00","£20,158.82","£1,664,270.33","£758,911.30","£8,806,104.51","£1,757,128.15",,"£1,757,128.15","£10,563,232.66",,
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,301,276.74,413,393.65,1983,1895.14,493,475.59,149,133.92,15,14.4,"3,354","3,189",5,5,4,4,3,3,,,12,12,"3,366","3,201","£10,208,028.00","£122,478.00",£0.00,"£25,771.00","£2,082,558.00","£1,715,901.00","£14,154,736.00","£214,173.50",,"£214,173.50","£14,368,909.50",,
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,11,11,423,402.3,789,761.9,1313,1269.6,189,178,,,"2,725","2,623",211,171.6,44,34,46,40.3,,,301,245.9,"3,026","2,869","£10,505,450.80","£148,607.55",,"£11,487.21","£2,047,602.44","£1,230,766.45","£13,943,914.45","£1,654,096.21",,"£1,654,096.21","£15,598,010.66",,
Health Education England,Special Health Authority,Department of Health,97,91.75,648,604.86,661,629.96,551,523.21,942,336.94,0,0,"2,899","2,187",82,63.08,,,,,,,82,63.08,"2,981","2,250","£8,409,784.96","£102,627.80",,£0.00,"£1,006,181.25","£809,706.32","£10,328,300.33","£347,663.38",,"£347,663.38","£10,675,963.71",,
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,2,1,75,70.48,76,73.17,32,28.2,7,6.8,,,192,180,6,3.88,3,1.5,,,,,9,5.38,201,185,"£578,856.14",,,,"£70,123.85","£57,620.70","£706,600.69","£32,275.97",,"£32,275.97","£738,876.66",,
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,15,14.2,39,36.4,9,8.5,3,3,0,0,66,62,2,2,0,0,5,5,0,0,7,7,73,69,"£218,146.44",,,,"£59,620.00","£25,324.00","£303,090.44","£59,870.00",,"£59,870.00","£362,960.44",The HFEA currently has 2 vacancies,
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,1.74,6,6,30,29.5,10,10,2,2,,,50,49,0,0,0,0,0,0,0,0,0,0,50,49,"£189,594.92",£338.33,£0.00,£750.77,"£24,526.95","£21,315.35","£236,526.32","£7,020.00",,"£7,020.00","£243,546.32",,
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,53,51.92,179,172.45,465,455.54,392,374.29,159,142.25,1,1,"1,249","1,197",0,0,0,0,0,0,0,0,0,0,"1,249","1,197","£4,791,781.23","£25,243.39","£807,749.44","£14,243.33","£1,293,111.83","£651,417.17","£7,583,546.39","£543,572.97",£0.00,"£543,572.97","£8,127,119.36",,
Monitor,Executive Non-Departmental Public Body,Department of Health,9,8.8,11,10.6,43,42.6,120,115.5102778,32,30.40555556,0,0,215,208,5,5,1,1,1,1,,,7,7,222,215,"£1,276,660.70",,,,"£340,737.93","£151,155.43","£1,768,554.06","£315,067.53",,"£315,067.53","£2,083,621.59",,
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,18,18,92,87.07,267,253.05,235,218.86,62,57.68,2,1.2,676,636,7,5.18,,,0,0,,,7,5.18,683,641,"£2,455,779.16","£16,659.75",,£404.21,"£330,093.43","£274,538.85","£3,077,475.40","£25,954.65",,"£25,954.65","£3,103,430.05",,
