Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,115,108.82,746,718.38,2016,1950.4,1639,1569.27,180,173.16,,,4696,4520.03,60,58.02,,,70,70,,,130,128.02,4826,4648.05,13511949.47,255227.76,181590.56,45268.26,3250729.55,1821021.47,19065787.07,3642565.17,1063563.16,4706128.33,23771915.4,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,34,31.2,175,168.35,765,738.39,461,448.87,42,39.11,,,1477,1425.92,2,2,,,341,340.5,,,343,342.5,1820,1768.42,4630724.34,0,85099.44,3563.46,1268018.67,653220.17,6640626.08,52168.52,137478,189646.52,6830272.6,
Teaching Regulation Authority,Executive Agency,Department for Education,11,11,20,19.27,22,20.65,8,7.87,1,1,,,62,59.79,3,3,0,0,0,0,0,0,3,3,65,62.79,149251.15,3318.9,2500,795.23,31461.78,15114.93,202441.99,-26935.05,5,-26930.05,175511.94,
Standards and Testing Agency,Executive Agency,Department for Education,0,0,26,25.18,78,75.39,32,31.15,4,3.92,,,140,135.64,,,,,20,12.67,,,20,12.67,160,148.31,441682.36,12045.23,2000,1010.64,96831.68,49270.62,602840.53,-8495.17,77464,68968.83,671809.36,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1,1,1,14,12.8,10,9.6,3,2.8,,,29,27.2,1,1,,,,,,,1,1,30,28.2,116884.77,1813.15,,,26435.51,13383.24,158516.67,,,0,158516.67,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,,,15,15,112,107,57,52,12,12,,,196,186,2,2,1,1,,,,,3,3,199,189,669493,18794,,,147487,76230,912004,20677,,20677,932681,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,353,321.49,584,571.37,307,302.44,23,22.71,6,6,0,0,1273,1224.01,98,59.7,0,0,79,44.1,2,1.5,179,105.3,1452,1329.31,3252282.99,195175.72,7701.33,30246.36,418267.63,335292.04,4238966.07,573758.61,3407,577165.61,4816131.68,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,27,26,24,23,5,5,,,,,66,64,,,,,,,,,0,0,66,64,246798,26856,0,0,32609,31439,337702,,,0,337702,
Office for Students,Executive Non-Departmental Public Body,Department for Education,24,20.97,5,4.29,167,152.14,104,95.17,28,27.61,,,328,300.18,17,17,,,19,19,,,36,36,364,336.18,1055155.57,12935.39,0,1637.55,224314.93,109698.55,1403741.99,217043.97,,217043.97,1620785.96,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2055,1943.422853,964,931.55816,199,195.0744,25,24.8,5,5,0,0,3248,3099.855413,61,61,0,0,27,27,0,0,88,88,3336,3187.855413,6210278.48,193951.21,11337.5,179384.24,701956.08,577866.78,7874774.29,276249.9,0,276249.9,8151024.19,
Institute for Apprenticeships,Executive Non-Departmental Public Body,Department for Education,4,4,7,7,32,31.51,80,78.39,9,9,,,132,129.9,11,11,,,,,,,11,11,143,140.9,549661.54,2570.1,,,115864.85,65525.14,733621.63,50311.31,,50311.31,783932.94,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,3,3,2,2,48,47.5,53,52.5,,,,,,,,,0,0,53,52.5,291645.59,,,,11221.44,29832.66,332699.69,46225,,46225,378924.69,
