Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,190,178.02,216,209.18,703,690.1,602,579.76,112,108.84,0,0,1823,1765.9,4,4,4,4,61,50.25,0,0,69,58.25,1892,1824.15,6860402.62,21354.51,1906.63,107755.28,1366193.83,640444.31,8998057.18,693999.98,1193779.94,1887779.92,10885837.1,
Driving Standards Agency,Executive Agency,Department for Transport,278,235.48,1846,1728.15,222,216.73,44,43.05,3,3,0,0,2393,2226.41,1,1,0,0,0,0,0,0,1,1,2394,2227.41,4754036.93,110131.71,-4796,49356.93,899682.95,350134.5,6158547.02,14630.4,,14630.4,6173177.42,
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4619,4097.21,890,845.9,662,643.86,135,130.86,8,8,0,0,6314,5725.83,10,10,2,1.5,2,1.9,0,0,14,13.4,6328,5739.23,9954916.77,96703.12,10227.97,409391.95,1770376.67,656754.99,12898371.47,257312.24,952.6,258264.84,13156636.31,
Highways Agency,Executive Agency,Department for Transport,1410,1367.92,305,285.49,1282,1241.04,298,288.25,33,32.09,0,0,3328,3214.79,0,0,72,26.42,0,0,0,0,72,26.42,3400,3241.21,7745030.03,641448.03,5178.6,105782.73,1564687.35,667071.39,10729198.13,558348.67,0,558348.67,11287546.8,
Maritime & Coastguard Agency,Executive Agency,Department for Transport,420,386.54,232,221.33,303,286.92,108,105.53,5,4.49,0,0,1068,1004.81,8,8,0,0,0,0,0,0,8,8,1076,1012.81,2335132.95,208302.21,500,141587.98,485783.29,211175.26,3382481.69,11794.17,,11794.17,3394275.86,
Vehicle Certification Agency,Executive Agency,Department for Transport,42,35.65,34,31.4,71,69.2,10,10,1,1,0,0,158,147.25,5,5,0,0,0,0,0,0,5,5,163,152.25,463696,13126,0,8660,79285,34893,599660,52207.18,,52207.18,651867.18,
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1043,975.92,805,789.79,384,377.93,39,38.95,3,3,0,0,2274,2185.59,32,30.73,2,2,9,9,0,0,43,41.73,2317,2227.32,4560169.23,310004.96,1950,260364.37,901467.55,386440.41,6420396.52,180704.47,,180704.47,6601100.99,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,3,2.8,3,2.7,2,2,0,0,9,8.5,0,0,0,0,1,1,0,0,1,1,10,9.5,35510,3475,0,0,4995,3348,47328,32526.17,,32526.17,79854.17,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,5,2.9,5,2.9,0,0,0,0,3,1.7,0,0,3,1.7,8,4.6,24317.18,0,0,0,458.33,1423.44,26198.95,35284.11,9760.67,45044.78,71243.73,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,49,47.8,8,8,106,105.2,62,61.6,14,14,22,20.41,261,257.01,38,35,33,29,108,108,0,0,179,172,440,429.01,1140141.2,0,0,0,71153.83,125669.45,1336964.48,326600.83,17486.6,344087.43,1681051.91,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,29,10.6,18,18,68,67.7,13,12.8,4,4,67,62.5,199,175.6,7,2,0,0,0,0,0,0,7,2,206,177.6,509108,7149,72753,26799,2892,54060,672761,0,,0,672761,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1,16,15.8,13,12.8,11,11,3,3,0,0,44,43.6,2,1.6,0,0,4,0.9,0,0,6,2.5,50,46.1,143379,244,14850,0,25096,16783,200352,4782.51,,4782.51,205134.51,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,302,293,302,293,9,9,0,0,0,0,0,0,9,9,311,302,835470.79,3945.38,7962,18643.43,313.79,73618.66,939954.05,19027.12,,19027.12,958981.17,
