Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Department of Health (excl agencies),Ministerial Department,Department of Health,34,33.55,251,243.62,676,656.96,654,625.88,128,124.07,0,0,"1,743","1,684",40,39.98,,,,,13,12.61,53,52.59,"1,796","1,737","£6,010,413.33","£29,274.96","£67,883.34","£10,904.07","£1,647,216.94","£720,535.95","£8,486,228.59","£977,344.00",,"£977,344.00","£9,463,572.59",,
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,297,275.06,387,375.12,1974,1901.22,490,478.02,151,139.02,15,14.4,"3,314","3,183",5,5,4,4,7,7,,,16,16,"3,330","3,199","£11,508,644.00","£81,314.00",£0.00,"£30,444.00","£1,400,632.00","£1,153,093.00","£14,174,127.00",,,£0.00,"£14,174,127.00",,
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,11,11,421,399.3,779,752.8,1298,1255.2,194,182.4,,,"2,703","2,601",205,145.5,47,33.1,39,26.7,,,291,205.3,"2,994","2,806","£10,614,215.11","£142,204.52",,"£15,074.59","£2,043,985.34","£1,227,292.13","£14,042,771.69","£1,380,007.12",,"£1,380,007.12","£15,422,778.81",,
Health Education England,Special Health Authority,Department of Health,438,409.99,324,303.04,662,630.05,558,530.36,951,342.24,0,0,"2,933","2,216",96,74.8,1,0.2,,,,,97,75,"3,030","2,291","£8,584,481.41","£111,949.70",,"£2,339.19","£1,020,078.17","£836,000.98","£10,554,849.45","£157,249.86",,"£157,249.86","£10,712,099.31",,
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,3,1,86,81.35,77,74.17,34,30.2,8,5.8,,,208,193,7,4.61,5,2.55,,,,,12,7.16,220,200,"£597,853.90",,,£395.56,"£75,608.13","£56,799.10","£730,656.69","£41,359.95",,"£41,359.95","£772,016.64",,
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,16,15.2,39,36.4,9,8.5,4,4,0,0,68,64,1,1,0,0,5,5,0,0,6,6,74,70,"£229,177.57",,,£222.45,"£61,986.00","£25,909.00","£317,295.02",,,£0.00,"£317,295.02",The HFEA currently has 1 vacancy,
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,5,5,30,29.5,10,10,3,3,,,50,50,,,,,,,,,0,0,50,50,"£229,282.21",£338.33,"£4,296.00",£437.58,"£26,330.13","£27,074.70","£287,758.95","£3,780.00",,"£3,780.00","£291,538.95",,
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,63,62.34,186,178.67,462,452.23,400,382.03,158,141.45,2,2,"1,271","1,219",Unknow,Unknow,Unknow,Unknow,Unknow,Unknow,Unknow,Unknow,0,0,"1,271","1,219","£4,890,695.92","£23,950.54","£8,400.00","£7,876.88","£1,317,493.06","£547,228.19","£6,795,644.59","£955,159.63",,"£955,159.63","£7,750,804.22",We are hoping to provide the Agency staff figures from next month.,
Monitor,Executive Non-Departmental Public Body,Department of Health,8,7.8,7,6.6,27,26.8,80,77,32,30.40555556,0,0,154,149,3,3,1,1,1,1,,,5,5,159,154,"£963,320.37",,,,"£261,719.28","£116,813.39","£1,341,853.04",,,£0.00,"£1,341,853.04",,
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,17,16,92,88.41,268,250.25,238,221.65,62,57.93,2,1.2,679,635,8,5.69,,,1,0.79,,,9,6.48,688,642,"£2,450,749.13","£17,150.36",,£0.00,"£329,942.73","£270,685.63","£3,068,527.85","£100,603.84",,"£100,603.84","£3,169,131.69",,
