Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,112,105.82,733,706.63,2044,1977.66,1653,1583,181,174.39,,,4723,4547.5,71,68.25,,,236,228.35,,,307,296.6,5030,4844.1,3893330.9,289164.81,25328.65,38250.98,1358922.68,667387.91,6272385.93,4346484.21,-169898.23,4176585.98,10448971.91,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,33,30.2,177,170.12,783,755.45,468,455.87,42,39.49,,,1503,1451.13,1,1,,,331,330.5,,,332,331.5,1835,1782.63,4100809.73,0,53795,564.38,1049811.82,535466.57,5740447.5,-12551.98,67260.75,54708.77,5795156.27,
Teaching Regulation Authority,Executive Agency,Department for Education,10,10,20,19.27,21,19.65,7,6.87,1,1,,,59,56.79,5,5,0,0,0,0,0,0,5,5,64,61.79,151345.5,1116.26,5000,48.57,26151.82,13003.41,196665.56,4615.09,0,4615.09,201280.65,
Standards and Testing Agency,Executive Agency,Department for Education,0,0,26,25.18,80,77.71,32,31.15,4,3.92,,,142,137.96,,,,,39,25.38,,,39,25.38,181,163.34,437355.27,14035.51,0,1549.56,97136.33,49456.69,599533.36,5664.51,22470.36,28134.87,627668.23,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1,1,1,15,13.8,9,8.6,3,2.8,,,29,27.2,2,1.9,,,,,,,2,1.9,31,29.1,110295.06,2117.6,,,24880.38,12557.17,149850.21,8450.66,,8450.66,158300.87,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,,,15,14.6,107,102.8,58,54.7,12,12,,,192,184.1,1,1,6,6,,,,,7,7,199,191.1,645829.63,14606.88,0,0,144795,72908,878139.51,25221,,25221,903360.51,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,342,311.06,575,562.66,309,304.45,23,22.71,7,7,0,0,1256,1207.88,98,59.7,0,0,79,44.1,2,1.5,179,105.3,1435,1313.18,3204096.06,194263.37,28079.91,16749.45,423218.73,330322.17,4196729.69,573758.61,3407,577165.61,4773895.3,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,27,26,25,24,4,4,,,,,66,64,,,,,,,,,0,0,66,64,241237,26128,0,0,32131,29233,328729,,,0,328729,
Office for Students,Executive Non-Departmental Public Body,Department for Education,17,14.37,6,4.91,150,136.18,121,109.74,40,38.66,,,334,303.86,32,32,,,11,11,,,43,43,377,346.86,1355191.56,10392.92,0,1785.35,242763.7,121867.69,1732001.22,121631.76,,121631.76,1853632.98,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2085,1974.26632,986,953.73304,200,196.0744,26,25.8,5,5,0,0,3302,3154.87376,61,61,,,28,28,,,89,89,3391,3243.87376,6211433.84,195465.14,9713,108067.29,699286.34,564457.34,7788422.95,181439.68,0,181439.68,7969862.63,Head count has increased due to scheduled intakes in Operational areas
Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,4,4,8,8,37,36.03,82,80.39,9,9,,,140,137.42,11,11,,,,,,,11,11,151,148.42,616986.66,8464.86,5810,,126775.15,73010.06,831046.73,70662.72,,70662.72,901709.45,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,3,3,2,2,47,46.5,52,51.5,,,,,,,,,0,0,52,51.5,296430.79,,,,11298.49,29878.39,337607.67,,,0,337607.67,
