Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Innovation &Skills (BIS)",Ministerial Department,"Department for Business, Innovation & Skills (BIS)",103,96.8,319,308.7,891,867.6,881,844.8,170,161.6,0,0,"2,364","2,279.50",14,14,0,0,20,20,9,9,43,43,"2,407","2,323","£8,095,732.62","£316,764.48","£30,020.99","£51,265.55","£1,802,116.77","£941,903.79","£11,237,804.20","£204,378.00","£283,669.00","£488,047.00","£11,725,851.20",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",52,46.6,248,226.5,481,442.4,39,36.3,3,3,2,1.2,825,756,16,16,0,0,0,0,4,4,20,20,845,776,"£2,156,423.69","£17,231.41",£0.00,"£11,977.07","£430,369.37","£218,075.45","£2,834,076.99","£6,213.18","£16,866.25","£23,079.43","£2,857,156.42",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",6,5.68,35,33.07,53,50.36,10,10,2,2,0,0,106,101.11,0,0,0,0,5,5,0,0,5,5,111,106,"£271,216.40","£3,361.14","£1,209.00",£0.00,"£71,072.68","£25,573.32","£372,432.54","£33,755.40",£0.00,"£33,755.40","£406,187.94",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",34,29.41,55,50.88,152,146.77,41,39.62,12,11.31,0,0,294,277.99,2,1.4,0,0,0,0,0,0,2,1,296,279,"£830,423.42","£25,976.68",£603.00,"£1,801.76","£214,276.62","£84,300.77","£1,157,382.25","£5,356.25",£0.00,"£5,356.25","£1,162,738.50",
Companies House,Executive agency,"Department for Business, Innovation & Skills (BIS)",470,412,259,247,136,133,33,32,5,4,5,5,908,833,0,0,0,0,0,0,18,18,18,18,926,851,"£1,818,434.06","£29,938.48",£800.00,"£54,669.92","£381,917.42","£175,834.96","£2,461,594.84","£38,752.54","£194,252.92","£233,005.46","£2,694,600.30",
Competition Service,Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",4,4,1,1,6,5.6,4,4,1,1,0,0,16,15.6,0,0,0,0,0,0,0,0,0,0,16,16,"£56,068.12",£0.00,£0.00,£0.00,"£12,335.27","£3,194.17","£71,597.56",£0.00,"£3,200.00","£3,200.00","£74,797.56",
Construction Industry Training Board (CITB),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",447,415.9,623,608.62,303,297.06,21,21,5,5,0,0,"1,399","1,347.58",76,57.5,1,1,79,46.32,2,1,158,106,"1,557","1,453","£3,448,744.73","£173,057.33","£7,000.00","£92,247.76","£442,287.36","£358,238.94","£4,521,576.12","£497,914.75","£2,535.40","£500,450.15","£5,022,026.27",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",15,12.85,33,31.06,72,68.06,16,15.91,2,2,0,0,138,129.88,0,0,0,0,0,0,0,0,0,0,138,130,"£361,030.07","£3,344.16",£200.00,£0.00,"£90,968.75","£36,747.50","£492,290.48",£0.00,£0.00,£0.00,"£492,290.48",
