Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,70,67.6,192,187.9,621,599.8,466,453.9,75,73.7,0,0,"1,424","1,383",3,3.0,1,1.0,44,38.4,4,4.0,52,46.4,"1,476","1,429","£4,798,109.64","£136,661.19","£41,413.20","£29,123.89","£1,068,299.48","£567,838.79","£6,641,446.19","£78,132 ","£12,000.00","£90,132.00","£6,731,578.19",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,157,142.1,98,88.4,85,81.6,318,277.1,7,7,0,0,665,596,11,11,0,0,56,12.4,0,0,67,23.4,732,620,"£1,973,565.89","£28,576.77",£0.00,"£1,706.16","£422,062.63","£212,953.92","£2,638,865.37","£301,745.89",£0.00,"£301,745.89","£2,940,611.26",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,17,17,25,25,5,5,1,1,0,0,52,52,2,2,0,0,0,0,1,1,3,3,55,55,"£160,822.07",£411.00,"£1,000.00","£6,417.93","£32,078.83","£17,961.59","£218,691.42","£5,234.38","£1,650.00","£6,884.38","£225,575.80",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,15,14.42,183,174.6,241,236.93,266,263.46,44,43.28,0,0,749,733,4,4,3,3,2,2,0,0,9,9,758,742,"£3,051,273.98","£108,016.33",£0.00,"£2,600.65","£692,879.71","£361,570.43","£4,216,341.10","£85,183.45",£0.00,"£85,183.45","£4,301,524.55",,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,52,50.6,52,51,15,15,0,0,0,0,0,0,15,15,67,66,"£190,274.49",£0.00,£0.00,£0.00,"£38,811.21","£21,349.70","£250,435.40","£84,248.72",£0.00,"£84,248.72","£334,684.12",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.8,1,1,17,16.3,0,0,1,1,0,0,22,21,0,0,0,0,0,0,0,0,0,0,22,21,"£67,901.91",£0.00,£0.00,£0.00,"£7,366.22","£7,049.18","£82,317.31",£0.00,£0.00,£0.00,"£82,317.31",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,21,19.62012,33,32.77297,14,13.73611,2,2,1,1,0,0,71,69,4,4,0,0,0,0,0,0,4,4,75,73,"£207,709.62","£1,296.66",£0.00,£0.00,"£29,487.08","£22,180.38","£260,673.74","£28,552.05",£0.00,"£28,552.05","£289,225.79",,We are currently moving from agency workers to fixed term  roles within our Finance team. Some of these changes show  in this month's figures,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,1,1,4,3.8,5,4.4,12,12,5,4.7,0,0,27,26,0,0,1,0.8,0,0,0,0,1,0.8,28,27,"£128,455.00",£0.00,£0.00,£0.00,"£15,594.00","£14,958.00","£159,007.00","£11,084.00",£0.00,"£11,084.00","£170,091.00",,,,
