,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,67,64.1,181,176.6,638,618.7,476,462.3,79,76.8,0,0,"1,441","1,399",3,3,1,1,30.4,30.4,5,5,39.4,39.4,"1,480","1,438","£5,003,197.89","£100,586.76","£1,453.93","£17,490.17","£1,087,998.84","£565,709.15","£6,776,436.74","£100,688.16",£0.00,"£100,688.16","£6,877,124.90",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,177,159.3,102,92.4,89,86.1,334,284.8,5,5,0,0,707,628,14,13,0,0,68,22.49,0,0,82,35.49,789,663,"£2,013,811.41","£41,255.27","£4,000.00",£693.66,"£434,990.74","£218,272.75","£2,713,023.83","£134,225.00",£0.00,"£134,225.00","£2,847,248.83",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,5,5,13,13,23,23,5,5,1,1,0,0,47,47,0,0,0,0,0,0,1,1,1,1,48,48,"£151,219.07",£494.57,£500.00,£456.84,"£31,478.97","£16,613.96","£200,763.41","£3,250.00",£0.00,"£3,250.00","£204,013.41",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,111,104.13,269,263.29,309,301.84,80,78.68,61,60.68,0,0,830,809,4,4,4,4,3,3,0,0,11,11,841,820,"£3,195,248.91","£97,113.90",£950.00,"£1,214.63","£689,828.91","£373,850.00","£4,358,206.35","£38,355.03",£0.00,"£38,355.03","£4,396,561.38",,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,49,48,49,48,12,12,0,0,0,0,0,0,12,12,61,60,"£161,394.84",£0.00,£0.00,"£2,574.99","£38,027.26","£21,107.34","£223,104.43","£63,251.65",£0.00,"£63,251.65","£286,356.08",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.8,1,1,17,16.3,0,0,1,1,0,0,22,21,0,0,0,0,0,0,0,0,0,0,22,21,"£67,280.00",£0.00,£0.00,£0.00,"£6,033.00","£7,029.00","£80,342.00",£0.00,£0.00,£0.00,"£80,342.00",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,22,20.60136,34,33.77297,12,11.73611,2,2,1,1,0,0,71,69,10,10,0,0,0,0,0,0,10,10,81,79,"£184,546.90","£1,313.99",£0.00,£0.00,"£31,871.98","£20,763.91","£238,496.78","£41,974.49",£0.00,"£41,974.49","£280,471.27",,,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,1,1,3,3,5,4.8,12,12,4,3.6,0,0,25,24,0,0,5,3.6,0,0,0,0,5,3.6,30,28,"£114,066.66",£0.00,£0.00,£0.00,"£10,630.71","£13,259.35","£137,956.72","£30,585.00",£0.00,"£30,585.00","£168,541.72",,,,
