Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,182,170.13,228,220.93,639,625.23,679,653.58,129,125.76,0,0.00,1857,1795.64,16,16.00,1,1.00,100,89.48,0,0.00,117,106.48,1974,1902.11,7462769.62,29387.89,115120.56,78327.51,1371769.05,1210928.8,10268303.43,1548444.744,2169424.128,3717868.872,13986172.3,,,1548444.744,2169424.128,3717868.872
Driving Standards Agency,Executive Agency,Department for Transport,219,181.06,1689,1569.02,299,293.56,41,40.83,0,0.00,0,0.00,2248,2084.47,11,11.00,0,0.00,0,0.00,0,0.00,11,11.00,2259,2095.47,4728524.92,199209.29,0,262625.32,909972.79,372898.26,6473230.58,65090.28,54637.97,119728.25,6592958.83,,,,,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4334,3797.76,751,706.88,594,570.35,124,119.95,7,7.00,0,0.00,5810,5201.95,0,0.00,2,1.86,4,2.72,0,0.00,6,4.58,5816,5206.53,9389691,77700,5918951,286888,2635622,1254335,19563187,110306,-9044,101262,19664449, ,,,,
Highways Agency,Executive Agency,Department for Transport,1401,1351.75,358,336.54,1437,1392.37,356,344.29,36,35.19,0,0.00,3588,3460.14,0,0.00,104,32.18,0,0.00,0,0.00,104,32.18,3692,3492.32,8857514.03,685106.58,24046.04,157736.89,1812015.48,781928.44,12318347.46,805006.81,0,805006.81,13123354.27,,,,,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,438,402.14,222,211.82,294,269.02,106,102.60,5,5.00,0,0.00,1065,990.58,24,24.00,0,0.00,0,0.00,0,0.00,24,24.00,1089,1014.58,2440989.19,265853.63,7927,185463.4,507583.89,203458.33,3611275.44,91826.04,0,91826.04,3703101.48,,,,,
Vehicle Certification Agency,Executive Agency,Department for Transport,44,38.65,41,38.80,78,76.25,7,7.00,1,1.00,0,0.00,171,161.70,2,2.00,0,0.00,0,0.00,0,0.00,2,2.00,173,163.70,501031,11884,2490,22964,91483,40995,670847,13540,0,13540,684387,,,,,
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1012,951.03,781,763.70,408,399.85,41,40.14,5,5.00,0,0.00,2247,2159.72,51,49.45,11,11.00,42,42.00,0,0.00,104,102.45,2351,2262.17,4534094.34,369441.02,1850,347760.64,912675.78,395206.31,6561028.09,-44490.61,0,-44490.61,6516537.48,,,,,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,1,1.00,4,4.00,3,2.70,2,2.00,0,0.00,10,9.70,0,0.00,0,0.00,3,2.00,0,0.00,3,2.00,13,11.70,41442,3828,,,5436,3886,54592,17000,16000,33000,87592,,,,,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,5.10,12,5.10,1,0.10,0,0.00,0,0.00,0,0.00,1,0.10,13,5.20,59337.97,,,,6354.02,3398.38,69090.37,0,0,0,69090.37,,,,,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,77,76.40,10,10.00,223,220.22,116,115.49,24,23.80,1,1.00,451,446.91,46,46.00,99,98.40,177,177.00,0,0.00,322,321.40,773,768.31,2060703,,0,0,90147.98,223834,2374684.98,858070.88,0,858070.88,3232755.86,,,,,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,10.50,18,18.00,63,62.60,14,13.80,4,4.00,71,65.70,198,174.60,5,3.00,0,0.00,0,0.00,0,0.00,5,3.00,203,177.60,526943,5107,0,19759,2705,46698,601212,10025,0,10025,611237,,,,,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1.00,15,14.80,14,13.60,12,11.90,3,3.00,0,0.00,45,44.30,0,0.00,0,0.00,5,1.50,0,0.00,5,1.50,50,45.80,153756,409,,,29186,14415,197766,6876,0,6876,204642,,,,,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,306,296.00,306,296.00,10,10.00,0,0.00,0,0.00,0,0.00,10,10.00,316,306.00,864224.58,7125.5,0,32842.59,164314.5,77114.17,1145621.34,21269.08,0,21269.08,1166890.42,,,,,
