Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Justice,Ministerial Department,Ministry of Justice,1067,992.31,840,805.82,1549,1500.37,776,752.23,115,112.55,0,0.00,"4,347","4,163.28",167,165.11,18,19,176,173.5,0,0.00,361,357.61,"4,708","4,520.89","£12,223,564.67","£238,432.87","£13,902.32","£79,422.31","£2,347,841.74","£1,013,661.29","£15,916,825.20","£2,058,041.03","£827,249.28","£2,885,290.31","£18,802,115.51",,Internal Audit (Nov 12) resulted in changes to the paybill costs having to be submitted.
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,14162,12383.83,3497,3262.22,2834,2645.08,667,650.59,38,37.92,0,0.00,"21,198","18,979.64",(..),401.8,(..),(..),(..),(..),(..),(..),0,401.80,"21,198","19,381.44","£35,928,509.14","£583,295.72","£280,061.82","£531,787.66","£6,263,362.44","£2,530,821.59","£46,117,838.37","£786,423.77",£0.00,"£786,423.77","£46,904,262.14",,
National Archives,Executive Agency,Ministry of Justice,184,165.11,126,121.07,253,245.86,62,61.16,6,6,0,0,631,599.20,20,18.6,0,0,15,14.3,0,0,35,32.90,666,632.10,"£1,501,619.43","£5,715.89",£0.00,"£14,379.68","£270,068.04","£124,209.51","£1,915,992.55","£116,950.93",£0.00,"£116,950.93","£2,032,943.48",,
National Offender Management Service,Executive Agency,Ministry of Justice,35031,33517.54,6968,6667.13,3095,2881.52,632,617.10,40,39.88,0,0.00,"45,766","43,723.16",289.2,289.2,(..),(..),(..),(..),(..),(..),289.2,289.20,"46,055","44,012.36","£99,887,797.52",£0.00,£0.00,"£5,086,959.60","£18,512,446.40","£7,604,982.16","£131,092,185.68","£2,746,975.95","£393,669.32","£3,140,645.27","£134,232,830.95",Not able to provide breakdown of contingent workers. New system of data collection to capture the detail required is being rolled out. Where not known placed in Agency column.,
The Office of the Public Guardian,Executive Agency,Ministry of Justice,269,251.18,163,155.36,68,66.84,10,9.82,2,1.78,0,0.00,512,484.98,149,97,0,0,0,0,1,1,150,98.05,662,583.03,"£906,565.13","£13,215.47","£2,900.00","£24,168.34","£144,584.43","£61,866.13","£1,153,299.50","£278,593.21","£34,320.25","£312,913.46","£1,466,212.96","Archway closed down, significant FTE reduction of most expensive agency staff.",
UK Supreme Court,Non-Ministerial Department,Ministry of Justice,4,4,17,17,19,18.8,5,4.47,2,2,0,0,47,46.27,0,0,0,0,0,0,0,0,0,0.00,47,46.27,"£133,159.19",565.19,£0,"£1,360.04","£24,309.61","£12,164.24","£171,558.27",Nil,Nil,£0.00,"£171,558.27",ICT Support Officer salary not transferred across. Head count shows transfer but not salary cost. ,
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,74,68.38,74,68.38,2,1.81,0,0,0,0,0,0,2,1.81,76,70.19,"£196,128.00",£43.00,(..),£0.00,"£36,728.00","£15,953.00","£248,852.00","£5,551.00",(..),"£5,551.00","£254,403.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles.",
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,350,323.74,350,323.74,17,16.11,0,0,0,0,0,0,17,16.11,367,339.85,"£710,619.02",£957.65,£0.00,"£16,181.20","£136,991.76","£51,154.06","£915,903.69","£31,280.96",£0.00,"£31,280.96","£947,184.65",,
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,13,13,20,18.8,24,24,15,14.2,3,3,1,0.6,76,73.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,76,73.60,"£210,925.00","£2,823.00",(..),(..),"£39,806.00","£18,088.00","£271,642.00",Nil,Nil,£0.00,"£271,642.00",,
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,31,30.60,31,30.60,0,0,0,0,0,0,0,0,0,0.00,31,30.60,"£147,125.57",(..),(..),(..),"£29,913.46","£17,896.96","£194,935.99",Nil,Nil,£0.00,"£194,935.99","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision",
