Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Business, Innovation and Skills (Core)",Ministerial Department,"Department for Business, Innovation and Skills",121,114.75,304,293.38,929,904.84,1012,971.07,197,188.2,,,"2,563","2,472",23,23,3,3,37,37,14,14,77,77,"2,640","2,549",,,,,,,£0.00,,,£0.00,£0.00,,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",39,37.67,84,83.07,259,255.75,174,172.25,24,23.25,,,580,572,19,19,1,1,80,80,12,12,112,112,692,684,,,,,,,£0.00,,,£0.00,£0.00,,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",54,47,258,235.7,484,443.5,39,36.7,3,3,2,1.2,840,767,14,14,0,0,,,4,4,18,18,858,785,"£2,375,501.52","£18,082.34",,"£10,763.64","£421,833.49","£191,278.04","£3,017,459.03","£42,278.37","£28,595.00","£70,873.37","£3,088,332.40",,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",3,3,34,32.14,57,53.12,11,10.87,4,3.5,,,109,103,,,,,6,5.5,,,6,5.5,115,108,"£280,933.00","£3,754.00","£8,500.00",£401.00,"£70,578.00","£18,665.00","£382,831.00","£167,086.00",,"£167,086.00","£549,917.00","Costs for CL include correction of £121,855 which should have been submitted Apr - Jul",
Biotechnology and Biological Sciences Research Council,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",179,160.4,292,273.06,664,625.55,185,170.58,43,40.88,,,"1,363","1,270",2,2,,,,,,,2,2,"1,365","1,272","£3,867,520.96","£69,597.14","£46,957.14","£27,903.37","£994,550.44","£329,947.61","£5,336,476.66","£5,154.75",,"£5,154.75","£5,341,631.41",,
Companies House,Executive Agency,"Department for Business, Innovation and Skills",453,397,255,242,132,129,32,31,4,4,,,876,803,3,3,,,,,17,17,20,20,896,823,"£1,731,957.61","£26,989.97","£1,458.13","£19,455.54","£361,754.33","£120,529.75","£2,262,145.33","£14,553.72","£104,085.48","£118,639.20","£2,380,784.53",,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",440,410.18,649,633.75,337,330.79,22,22,5,5,0,0,"1,453","1,402",48,33.56,1,1,52,44.37,7,1.92,108,80.85,"1,561","1,483","£3,569,260.74","£183,464.60","£1,807.00","£57,714.97","£468,292.50","£301,834.61","£4,582,374.42","£400,369.00","£33,057.00","£433,426.00","£5,015,800.42",,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",3,3,1,1,6,5.6,3,3,1,1,,,14,14,,,,,1,1,,,1,1,15,15,"£48,667.39",,,,"£10,520.52","£4,356.84","£63,544.75","£2,511.00",,"£2,511.00","£66,055.75",Provide IT support to the team for the IT Infrastructure Upgrade,
