Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,110,103.82,733,706.31,2042,1974.29,1668,1598.85,182,175.25,,,4735,4558.52,70,70,,,243,243,,,313,313,5048,4871.52,23788120.86,235368.01,428954.35,36939.21,5512601.2,3046944.67,33048928.3,4162653.61,1718568.15,5881221.76,38930150.06,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,33,30.2,180,172.64,810,782.38,478,465.59,42,39.49,,,1543,1490.3,1,1,,,384,383.5,,,385,384.5,1928,1874.8,3883719.35,410.16,76650,3329.74,1079412.78,557838.72,5601360.75,10990.46,-65267,-54276.54,5547084.21,
Teaching Regulation Authority,Executive Agency,Department for Education,10,10,19,18.27,22,20.65,7,6.87,1,1,,,59,56.79,4,4,0,0,0,0,0,0,4,4,63,60.79,144228.18,2652.3,500,228.45,31258.87,14751.76,193619.56,5315.34,234.16,5549.5,199169.06,
Standards and Testing Agency,Executive Agency,Department for Education,,,28,27.18,78,75.71,32,31.31,4,3.92,,,142,138.12,,,,,31,18.6,,,31,18.6,173,156.72,428692.37,13807.55,10750,2640.44,93281.28,50490.64,599662.28,28682.57,41910.99,70593.56,670255.84,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1,1,1,15,13.8,9,8.6,3,2.8,,,29,27.2,1,1,,,,,,,1,1,30,28.2,111916.52,1765.03,,,25214.06,12732.28,151627.89,7079.06,,7079.06,158706.95,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,,,15,14.6,108,103.6,56,52.8,12,12,,,191,183,8,8,,,,,,,8,8,199,191,670767,14233,0,2833,145262,75357,908452,30746,,30746,939198,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,183,166.86,501,491.92,258,254.41,22,21.71,7,7,0,0,971,941.9,98,59.7,0,0,79,44.1,2,1.5,179,105.3,1150,1047.2,2624605.84,184954.12,4.07,25369.12,350851.28,276886.15,3462670.58,573758.61,3407,577165.61,4039836.19,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,27,26,25,24,4,4,,,,,66,64,,,,,,,,,0,0,66,64,240639,25637,0,0,33014,30499,329789,,,0,329789,
Office for Students,Executive Non-Departmental Public Body,Department for Education,19,16.39,7,5.91,155,140.5,121,109.99,39,36.79,,,341,309.58,37,37,,,11,11,,,48,48,389,357.58,1124424.38,8798.89,0,0,242464.21,120866.81,1496554.29,112633.98,,112633.98,1609188.27,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2146,2033.219653,985,952.25304,207,202.9810667,26,25.8,5,5,0,0,3369,3219.25376,66,66,0,0,28,28,0,0,94,94,3463,3313.25376,6311808.76,197020.6,11365.25,118473.65,714870.91,576003.49,7929542.66,231406.78,0,231406.78,8160949.44,
Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,4,4,8,8,39,38.03,86,84.4,10,10,,,147,144.43,12,12,,,,,,,12,12,159,156.43,601893.72,0,0,,125626.28,103203.79,830723.79,61160.57,,61160.57,891884.36,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,3,3,2,2,48,46.7,53,51.7,1,1,,,,,,,1,1,54,52.7,303932.35,,,,11110.29,29704.31,344746.95,2465,,2465,347211.95,
