Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes,
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,124,120.47,211,203.39,674,661.62,574,559.54,112,109.77,0,0,"1,695","1,655",3,3,23,22.97,15,15,0,0,41,40.97,"1,736","1,696","£6,310,415.71","£43,487.84","£19,085.00","£72,596.61","£1,397,104.32","£629,975.23","£8,472,664.71","£370,870.86","£345,800.68","£716,671.54","£9,189,336.25",,
Driving Standards Agency,Executive Agency,Department for Transport,350,297.46,1916,1796.27,256,250.09,51,51,3,3,0,0,"2,576","2,398",0,0,0,0,0,0,0,0,0,0,"2,576","2,398","£4,577,138.41","£113,403.89",,"£274,415.79","£945,083.73","£399,117.04","£6,309,158.86",,£585.63,£585.63,"£6,309,744.49",,
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4617,4125.84,930,882.54,668,654.96,129,125.33,9,8.97,0,0,"6,353","5,798",0,0,1,0.88,19,17.86,0,0,20,18.74,"6,373","5,816","£9,843,346.61","£97,804.34","£23,181.96","£112,839.25","£1,761,596.85","£628,758.37","£12,467,527.38","£275,024.70",,"£275,024.70","£12,742,552.08",,
Government Car & Despatch Agency,Executive Agency,Department for Transport,13,13,152,144.5,12,12,1,1,0,0,0,0,178,171,1,1,0,0,0,0,0,0,1,1,179,172,"£375,711.67","£32,937.63",,"£69,058.69","£77,753.00","£38,181.25","£593,642.24","£5,970.19",,"£5,970.19","£599,612.43",,
Highways Agency,Executive Agency,Department for Transport,1570,1533.2,327,309.28,1307,1272.18,288,278.9,30,29.09,0,0,"3,522","3,423",0,0,0,0,26,19.75,0,0,26,19.75,"3,548","3,442","£7,921,577.21","£635,017.32","£4,005.13","£33,569.92","£1,583,550.52","£666,438.90","£10,844,159.00","£134,115.47",,"£134,115.47","£10,978,274.47",,
Maritime & Coastguard Agency,Executive Agency,Department for Transport,466,432.8,240,232.1,297,280.7,111,108.8,5,4.5,0,0,"1,119","1,059",11,8.9,0,0,0,0,0,0,11,8.9,"1,130","1,068","£2,454,707.11","£239,176.65",,"£116,954.41","£512,235.43","£221,628.51","£3,544,702.11","£10,235.72",,"£10,235.72","£3,554,937.83",,
Vehicle Certification Agency,Executive Agency,Department for Transport,39,34,31,29.5,71,69.4,9,9,1,1,0,0,151,143,2,2,0,0,0,0,0,0,2,2,153,145,"£411,668.00","£16,685.83",£300.00,"£5,492.14","£74,873.00","£35,447.00","£544,465.97","£18,154.93",,"£18,154.93","£562,620.90",,
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1006,944.2,812,799.92,370,365.3,33,32.4,3,3,0,0,"2,224","2,145",65,62.57,6,6,0,0,0,0,71,68.57,"2,295","2,213","£4,514,269.51","£315,440.49","£5,200.00","£339,131.00","£885,959.00","£383,150.00","£6,443,150.00","£181,460.00",,"£181,460.00","£6,624,610.00",,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,5,4.5,1,1,2,2,0,0,9,9,0,0,0,0,1,1,0,0,1,1,10,10,"£63,966.00","£6,492.00",,,"£8,832.00","£6,213.00","£85,503.00","£4,080.00",,"£4,080.00","£89,583.00",Owing to our four-weekly pay cycle staff recive 13 salary payments a year which resulted in two salary payments in December.  This was not the case for our specialist contractor who is paid on a standard monthly basis,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,6,3.8,6,4,0,0,0,0,2,1.1,0,0,2,1.1,8,5,"£55,464.17",,,,"£4,061.67","£7,166.31","£66,692.15","£11,600.00",,"£11,600.00","£78,292.15",,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,11,11,4,4,18,17.3,23,22.8,4,3.9,0,0,60,59,12,12,13,12.1,7,7,0,0,32,31.1,92,90,"£253,541.45","£1,277.50",,,"£32,847.44","£25,613.53","£313,279.92","£277,849.23",,"£277,849.23","£591,129.15",,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,30,11,19,19,74,73.7,15,14.8,4,4,69,63.6,211,186,0,0,0,0,8,2.5,0,0,8,2.5,219,189,"£530,170.45","£6,838.27",£0.00,"£32,508.07","£3,111.42","£47,027.61","£619,655.82","£13,050.00",,"£13,050.00","£632,705.82",,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,2,2,14,13.4,12,12,10,10,3,3,0,0,41,40,0,0,1,0.35,3,1,0,0,4,1.35,45,42,"£152,412.00",£510.00,,,"£26,746.00","£14,295.00","£193,963.00","£9,948.00",,"£9,948.00","£203,911.00",,
Railway Heritage Committee,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,£0.00,,,£0.00,£0.00,"The salary of the RHC's one employee is paid by BRB (Residuary) Ltd, and should therefore be accounted for in the BRBR return."
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,314,304,314,304,0,0,0,0,0,0,0,0,0,0,314,304,"£827,639.40","£12,193.51",,"£21,194.26",£177.29,"£73,764.09","£934,968.55",,,£0.00,"£934,968.55",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
