Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,79,76.0,249,241.5,734,710.2,548,530.9,81,78.4,0,0.0,"1,691","1,637",13,13.0,1,1.0,28,20.4,4,4.0,46,38.4,"1,737","1,675","£5,746,107.47","£103,330.92","£31,850.00","£88,637.69","£1,251,657.13","£533,283.38","£7,754,866.59","£157,966.00","-£8,577.00","£149,389.00","£7,904,255.59",,The negative figure for consultancy costs this month is due to credits received.
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,197,176.2,119,106.3,103,99.2,344,291.3,5,5.0,0,0.0,768,678,23,23,0,0,77,29.6,0,0,100,52.6,868,731,"£2,152,980.96","£46,839.35","£27,112.50",£518.66,"£459,415.35","£188,240.04","£2,875,106.86","£261,355.52",£0.00,"£261,355.52","£3,136,462.38",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,13,13.0,23,23.0,5,5.0,1,1.0,0,0.0,46,46,6,6,0,0,0,0,2,2,8,8,54,54,"£148,977.49",£447.00,£0.00,"£3,299.87","£31,401.83","£14,031.90","£198,158.09","£15,379.69","£1,900.00","£17,279.69","£215,437.78",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,140,131.5,298,290.8,341,333.2,81,78.7,64,63.7,0,0.0,924,898,7,7,6,6,5,5,0,0,18,18,942,916,"£3,456,956.18","£92,167.27",£0.00,"£2,360.14","£754,175.89","£333,108.83","£4,638,768.31","£102,456.00",£0.00,"£102,456.00","£4,741,224.31",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,47,46.4,47,46,9,8.6,0,0,0,0,0,0,9,8.6,56,55.0,"£174,076.70",£80.35,£0.00,"£9,592.71","£36,335.49","£17,409.28","£237,494.53","£41,634.98",£0.00,"£41,634.98","£279,129.51",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1.0,18,17.3,0,0.0,1,1.0,0,0.0,24,23,0,0,0,0,0,0,0,0,0,0,24,23.1,"£79,119.00",£0.00,£0.00,£0.00,"£7,845.00","£8,096.00","£95,060.00",£0.00,£0.00,£0.00,"£95,060.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.6,33,32.5,12,11.7,2,2.0,1,1.0,0,0.0,71,69,5,5,0,0,0,0,0,0,5,5,76,74,"£209,016.38","£1,489.65",£0.00,£0.00,"£33,266.81","£17,358.65","£261,131.49","£16,850.95",£0.00,"£16,850.95","£277,982.44",,"We have temporarily recruited agency staff to carry out key permanent vacancies and to cover 2 maternity leavers. Due to recent staff turnover and absence, part-time staff in one area of the business have agreed to temporarily increase their hours."
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,3.0,0,0.0,2,2.0,6,6.0,4,4.0,0,0.0,15,15,0,0,8,7,0,0,0,0,8,7,23,22,"£71,972.00",£0.00,£0.00,£0.00,"£8,997.00","£10,076.00","£91,045.00","£83,595.00",£0.00,"£83,595.00","£174,640.00",,
