Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,31,30.55,261,254.38,650,623.98,693,675.14,130,126.79,0,0,1765,1710.84,35,35,0,0,1,1,13,12.42,49,48.42,1814,1759.26,"£6,527,981","£17,580","£165,751","£137,820","£1,789,135","£808,101","£9,446,368.60","£1,558,768",,"£1,558,768.00","£11,005,136.60",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,229,210.87,436,418.79,1954,1880.8,492,478.33,153,138.12,14,12,3278,3138.91,5,5,13,13,14,14,2,2,34,34,3312,3172.91,"£11,179,952","£82,770",0,"£52,355","£1,410,241","£1,153,899","£13,879,217.00",,,£0.00,"£13,879,217.00",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,9,9,378,360.7,745,719.2,1232,1194.6,199,188.1,,,2563,2471.6,289,249.9,150,123.2,7,5.3,,,446,378.4,3009,2850,"£10,288,875","£399,871",,"£42,848","£1,998,354","£1,166,086","£13,896,033.78",,,£0.00,"£13,896,033.78",
Health Education England,Special Health Authority,Department of Health,229,210.87,436,418.79,1954,1880.8,492,478.33,153,138.12,14,12,3278,3138.91,5,5,13,13,14,14,2,2,34,34,3312,3172.91,"£11,179,952",82770,0,"£52,355","£1,410,241","£1,153,899","£13,879,217.00","£408,719",,"£408,719.46","£14,287,936.46",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,3,1,86,81.6,77,74.24,36,32.2,8,5.8,,,210,194.84,4,3.31,4,3.55,,,,,8,6.86,218,201.7,"£636,353",,,£0,"£79,656","£63,251","£779,260.43",,,£0.00,"£779,260.43",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,14,13.2,37,36.4,9,8.5,4,3.5,0,0,64,61.6,1,1,0,0,5,5,0,0,6,6,70,67.6,"£233,176",,,,"£63,161","£25,975","£322,312.00","£58,576",,"£58,576.00","£380,888.00",
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,1,4,4,29,28.71,10,10,3,3,,,47,46.71,,,,,,,,,0,0,47,46.71,199905.03,0,0,1959.9,26524.73,23117.6,"£251,507.26","£6,627",,"£6,627.00","£258,134.26",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,58,57.61,189,181.18,457,448.01,411,394.39,157,142.7,0,0,1272,1223.89,56,56,0,0,0,0,0,0,56,56,1328,1279.89,"£4,881,627","£19,173",5100,"£16,590","£1,318,481","£547,929","£6,788,900.17","£1,101,059",,"£1,101,058.87","£7,889,959.04",
Monitor,Executive Non-Departmental Public Body,Department of Health,8,7.8,5,5,21,20.8,65,62.8,33,31.04,0,0,132,127.44,2,2,0,0,1,1,,,3,3,135,130.44,"£966,784",,,,"£234,604","£104,125","£1,305,513.15",,,£0.00,"£1,305,513.15",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,14,14,93,89.11,260,243.77,246,230.01,66,61.78,2,1.2,681,639.87,11,9.66,,,0,0,,,11,9.66,692,649.53,"£2,537,536","£6,619",,,"£496,984","£283,809","£3,324,948.99","£100,557",,"£100,557.39","£3,425,506.38",
