"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",193,175.79,604,583.53,2691,2595.41,1745,1685.19,180,174.47,52,52,"5,465",5266.39,51,51,15,15,411,409.8,59,57.9,536,533.7,"6,001",5800.09,"£26,820,981","£64,681","£358,172","£151,962","£4,940,902","£2,121,603","£34,458,301","£18,741,008","£4,693,055","£23,434,063","£57,892,364","In March 2021 HMRC issued Defra with an assessment for tax in the sum of £8,495,449.55 after a voluntary disclosure was made to declare the erroneous recovery of VAT on supplies of staff. This amount relates to contingent labour costs not recorded in Defra’s Headcount and Payroll Data from 1st January 2017 to 31st March 2020. Accordingly, Defra has included this cost in the March 2021 return.",
Animal and Plant Health Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",897,840.48,764,719.58,836,792.53,178,173.09,4,4,0,0,"2,679",2529.68,112,112,24,24,0,0,0,0,136,136,"2,815",2665.68,"£6,304,066","£195,877","£658,757","£220,693","£1,734,852","£742,015","£9,856,260","£1,109,744",£0,"£1,109,744","£10,966,004",,
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",55,50.3,126,116.39,320,302.74,113,107.3,4,4,0,0,618,580.73,0,0,0,0,0,0,0,0,0,0,618,580.73,"£1,653,759","£5,267",£0,"£58,926","£453,788","£179,396","£2,351,136",£0,£0,£0,"£2,351,136",,
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",998,897.9,626,573.07,446,416.06,102,99.38,6,6,0,0,"2,178",1992.41,386,372.11,0,0,5,5,0,0,391,377.11,"2,569",2369.52,"£4,435,655","£3,873","£334,100","£86,789","£1,170,861","£447,827","£6,479,105","£1,326,667",£0,"£1,326,667","£7,805,771",,
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",34,33.24,24,23.25,47,45.37,59,58.26,3,3,0,0,167,163.12,15,14.4,0,0,0,0,0,0,15,14.4,182,177.52,"£564,846","£18,484",£0,"£11,379","£160,560","£67,024","£822,293","£70,002",£0,"£70,002","£892,295",,There has been a decrease in the number of non-payroll staff due to some personnel being incorrectly declared in previous months.  
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,514,492.5,514,492.5,0,0,0,0,0,0,0,0,0,0,514,492.5,"£1,605,108","£84,405",£0,£0,"£147,091","£187,000","£2,023,603",£0,£0,£0,"£2,023,603",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain. No funding towards staffing or other running costs is received from the government. ,
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.27,25,24.17,19,18.28,13,12.57,4,4,0,0,70,67.29,11,11,1,0.6,0,0,0,0,12,11.6,82,78.89,"£267,229","£1,535",£0,"£2,188","£60,315","£32,365","£363,632","£63,211",£0,"£63,211","£426,843",,
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1627,1526.66,2683,2529.96,3339,3135.9,2195,2091.35,93,92.34,838,824.46,"10,775",10200.68,199,194.71,25,22.57,3,2.6,206,165.25,433,385.13,"11,208",10585.81,"£29,551,863","£311,075",-£214,"£1,692,247","£4,508,404","£3,262,475","£39,325,850","£646,181","£10,405,048","£11,051,230","£50,377,079",,"Some of the reasons for this increase on last year are:
Increased flood budgets for 20-21 compared to last year.
Many of the projects in 20-21 are high level projects from Water Story, Natural Capital, Net Zero Carbon Programme.
There have also been some sizeable costs to do with both COVID19 & Incident response and recovery over the last year.
Many of these projects have required specialised knowledge for which we have had to bring in consultants.
The usual year end accruals process and capturing unbilled costs always inflates the March numbers."
Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",8,7.5,33,32.6,156,148.24,27,26.3,2,2,7,0.99,233,217.63,2,2,0,0,4,4,0,0,6,6,239,223.63,"£578,287","£12,244",£100,"£13,863","£163,163","£60,278","£827,935","£46,153",£0,"£46,153","£874,088",,
Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",38,34.24,158,153.94,132,127.18,54,53.71,7,6.19,0,0,389,375.26,29,28.5,21,20.6,8,7.4,0,0,58,56.5,447,431.76,"£1,284,514",£0,£0,"£110,644","£282,941","£140,788","£1,818,887","£529,853",£0,"£529,853","£2,348,740",,
National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,4,3.31,22,20.83,4,4,1,1,0,0,31,29.14,0,0,0,0,0,0,0,0,0,0,31,29.14,"£85,354",£0,£0,£0,"£23,402","£8,849","£117,605",£0,£0,£0,"£117,605",,
Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",140,130.58,326,311.24,1532,1428.41,211,200.95,19,18.9,11,10.65,"2,239",2100.73,16,14.98,0,0,0,0,0,0,16,14.98,"2,255",2115.71,"£5,588,096","£60,936","£26,525","£12,492","£1,512,800","£555,181","£7,756,030","£20,000",£0,"£20,000","£7,776,030",,
"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",296,214.66,207,154.38,253,242.9,80,77.85,8,8,76,75.25,920,773.04,8,7.5,3,3,4,4,0,0,15,14.5,935,787.54,"£2,195,201","£12,077",£0,"£21,366","£506,286","£225,083","£2,960,013","£249,567","£54,721","£304,288","£3,264,301",,
