Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,81,78.0,252,244.6,735,712.0,539,522.4,77,74.4,0,0.0,"1,684","1,631",14,14.0,0,0.0,26,18.4,3,3.0,43,35.4,"1,727","1,667","£5,518,495.14","£52,296.78","£1,638.87","£62,223.35","£1,212,911.14","£512,725.11","£7,360,290.39","£304,824.00","£102,454.00","£407,278.00","£7,767,568.39",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,201,179.5,120,107.3,105,101.3,345,292.7,5,5.0,0,0.0,776,686,16,16,0,0,77,29.6,0,0,93,45.6,869,731,"£2,182,583.07","£41,823.93",£0.00,"£3,413.53","£465,562.99","£187,241.24","£2,880,624.76","£167,139.61",£0.00,"£167,139.61","£3,047,764.37",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,12,12.0,23,23.0,5,5.0,1,1.0,0,0.0,45,45,7,7,0,0,0,0,2,2,9,9,54,54,"£140,736.64",£556.00,£100.00,"£8,327.65","£29,659.18","£13,729.70","£193,109.17","£22,435.73","£7,700.00","£30,135.73","£223,244.90",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,137,128.7,308,301.2,336,328.0,81,78.7,64,63.7,0,0.0,926,900,3,3,8,8,7,6.65,0,0,18,17.65,944,918,"£3,482,476.43","£125,679.89",£0.00,"£6,160.88","£759,694.38","£337,436.14","£4,711,447.72","£116,776.00",£0.00,"£116,776.00","£4,828,223.72",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,47,46.2,47,46,10,9.6,0,0,0,0,0,0,10,9.6,57,55.8,"£176,174.11",£80.35,£0.00,"£2,199.43","£36,234.55","£16,525.32","£231,213.76","£39,585.04",£0.00,"£39,585.04","£270,798.80",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1.0,18,17.3,0,0.0,1,1.0,0,0.0,24,23,0,0,0,0,0,0,0,0,0,0,24,23,"£75,587.00",£0.00,£0.00,£0.00,"£6,448.00","£7,898.00","£89,933.00",£0.00,£0.00,£0.00,"£89,933.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.6,35,34.5,12,11.7,2,2.0,1,1.0,0,0.0,73,71,6,6,0,0,0,0,0,0,6,6,79,77,"£201,357.46","£1,401.82",£0.00,£0.00,"£33,006.03","£17,062.21","£252,827.52","£12,669.70",£0.00,"£12,669.70","£265,497.22",,"We have temporarily recruited agency staff to carry out key permanent vacancies and to cover 2 maternity leavers. Due to recent staff turnover and absence, part-time staff in one area of the business have agreed to temporarily increase their hours."
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,3.0,0,0.0,2,2.0,5,5.0,4,4.0,0,0.0,14,14,0,0,6,6,0,0,0,0,6,6,20,20,"£68,453.00",£0.00,£0.00,£0.00,"£8,557.00","£9,583.00","£86,593.00","£66,333.00",£0.00,"£66,333.00","£152,926.00",,
