,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,79,75.66,249,241.84,740,715.48,553,538.25,83,80.31,0,0,"1,704","1,652",13,13,0,0,37,29.41,7,7,57,49.41,"1,761","1,701","£5,838,490.35","£198,805.00","£53,690.99","£69,676.05","£1,362,131.69","£539,587.99","£8,062,382.07","£227,229.00","£26,400.00","£253,629.00","£8,316,011.07",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,196,175.2,117,104.3,100,96.2,345,292.9,5,5,0,0,763,674,22,22,0,0,77,30.93,0,0,99,52.93,862,727,"£2,256,858.56","£78,772.17","£2,932.02","£10,484.26","£488,686.76","£206,037.06","£3,043,770.83","£249,688.00",£0.00,"£249,688.00","£3,293,458.83",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,13,13,23,23,5,5,1,1,0,0,46,46,4,4,0,0,0,0,3,3,7,7,53,53,"£149,181.36",£816.00,£250.00,"£6,908.79","£30,981.92","£14,634.11","£202,772.18","£11,542.37","£12,050.00","£23,592.37","£226,364.55",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,136,127.22,297,290.1,341,332.44,81,78.66,63,62.68,0,0,918,891,7,7,7,6.4,5,5,0,0,19,18.4,937,910,"£3,429,058.67","£118,486.76",£0.00,"£1,702.10","£751,503.74","£334,907.05","£4,635,658.32","£99,761.14",£0.00,"£99,761.14","£4,735,419.46",,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,48,47,48,47,6,6,0,0,0,0,0,0,6,6,54,53,"£188,904.02",£0.00,£0.00,"£4,592.54","£40,890.62","£17,994.48","£252,381.66","£31,967.62",£0.00,"£31,967.62","£284,349.28",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1,18,17.3,0,0,1,1,0,0,24,23,0,0,0,0,0,0,0,0,0,0,24,23,"£75,993.00",£0.00,£0.00,£0.00,"£6,295.00","£8,124.00","£90,412.00",£0.00,£0.00,£0.00,"£90,412.00",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,21,19.602,31,30.476,12,11.736,2,2,1,1,0,0,67,65,6,6,0,0,0,0,0,0,6,6,73,71,"£193,260.72","£1,313.99",£0.00,£0.00,"£31,333.97","£18,455.17","£244,363.85","£14,948.95",£0.00,"£14,948.95","£259,312.80",,"We have temporarily recruited agency staff to carry out key permanent vacancies and to cover 2 maternity leavers. Recruitment to the permanent vacancies is currently in train. Due to recent staff turnover and absence, part-time staff in one area of the business have agreed to temporarily increase their hours.",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,4,1,1,2,2,7,7,3,3,0,0,17,17,0,0,7,6,0,0,0,0,7,6,24,23,"£76,568.00",£0.00,£0.00,£0.00,£0.00,£0.00,"£76,568.00","£171,761.00",£0.00,"£171,761.00","£248,329.00",,,,
