Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)",,,,,,,,,
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,,,,,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,,,,,,
2021,May,Department for Education,Ministerial Department,Department for Education,90,84.4,804,776.3,"2,688","2,602.3","2,090","2,004.4",199,191.3,7,6.8,"5,878",5666,45,45.0,,,110,109.0,,,155,154,"6,033","5,820","£19,439,048.30","£508,423.08","-£506,582.15","£73,422.39","£5,673,453.38","£2,409,201.63","£27,596,966.63","£1,132,068.39","£225,167.42","£1,357,235.81","£28,954,202.44",Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. ,,,,,,,,,
2021,May,Education & Skills Funding Agency ,Executive Agency,Department for Education,24,22.6,187,180.9,988,955.8,573,558.0,49,47.4,,,"1,821",1765,14,14.0,,,3,3.0,,,17,17,"1,838","1,782","£5,834,018.18","£68,434.16","£18,600.00","£4,157.31","£1,670,975.62","£696,900.18","£8,293,085.45","£484,397.55","£89,483.61","£573,881.16","£8,866,966.61",,,,,,,,,,
2021,May,Teaching Regulation Authority,Executive Agency,Department for Education,10,10.0,28,26.9,27,25.5,7,6.7,1,1.0,,,73,70,2,2.0,0,0.0,0,0.0,0,0.0,2,2,75,72,"£182,189.10","£1,383.29",£0.00,£0.00,"£47,669.28","£18,772.17","£250,013.84","£3,767.49",£0.00,"£3,767.49","£253,781.33",,,,,,,,,,
2021,May,Standards and Testing Agency,Executive Agency,Department for Education,0,0.0,7,6.6,33,31.6,19,18.7,3,3.0,,,62,60,,,,,1,1.0,,,1,1,63,61,"£174,946.72","£1,657.48",£0.00,£0.00,"£48,902.17","£19,981.50","£245,487.87",£0.00,"£6,800.00","£6,800.00","£252,287.87",,,,,,,,,,
2021,May,The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,,,3,3.0,11,10.4,9,8.6,4,4.0,,,27,26,1,1.0,,,,,,,1,1,28,27,"£119,108.56","£3,576.60",,,"£33,817.43","£14,038.77","£170,541.36","£4,231.74",,"£4,231.74","£174,773.10",,,,,,,,,,
2021,May,Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,56,49.8,356,351.4,229,226.6,20,19.8,4,4.0,1,0.2,666,652,1,1.0,1,1.0,,,,,2,2,668,654,"£2,024,589.03","£148,302.34",,"£9,757.73","£149,697.61","£215,336.58","£2,547,683.29","£128,294.30",,"£128,294.30","£2,675,977.59",,,,,,,,,,
2021,May,Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,9,9,35,34.8,30,28.6,4,4,,,,,78,76,,,,,1,0.6,2,0.3,3,1,81,77,"£301,807.00","£37,210.00",£0.00,£0.00,"£42,424.00","£37,789.00","£419,230.00","£9,600.00","£3,550.00","£13,150.00","£432,380.00",,,,,,,,,,
2021,May,Office for Students,Executive Non-Departmental Public Body,Department for Education,18,17.2,9,8.1,185,170.2,145,134.4,42,39.1,,,399,369,,,,,,,,,0,0,399,369,"£1,397,452.00","£19,354.00",£0.00,£819.00,"£377,514.00","£142,116.00","£1,937,255.00",£0.00,,£0.00,"£1,937,255.00",,,,,,,,,,
2021,May,Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,"1,993","1,881.5","1,050","1,019.1",267,262.6,26,25.8,8,8.0,0,0.0,"3,344",3197,9,9.0,0,0.0,15,15.0,0,0.0,24,24,"3,368","3,221","£8,014,795.66","£202,771.41","£183,239.02","£196,666.47","£1,484,850.57","£829,241.70","£10,911,564.83","£150,598.81",£0.00,"£150,598.81","£11,062,163.64",,,,,,,,,,
2021,May,Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,4,4.0,9,9.0,85,84.0,118,116.5,13,12.2,,,229,226,5,5.0,,,,,,,5,5,234,231,"£918,785.83",,"£11,620.57",,"£222,122.86","£110,841.93","£1,263,371.19","£26,425.86",,"£26,425.86","£1,289,797.05",,,,,,,,,,
2021,May,LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,,,2,2.0,52,51.0,54,53,,,,,,,,,0,0,54,53,"£308,508.43",,,,"£14,986.68","£32,571.55","£356,066.66",,,£0.00,"£356,066.66",Salary includes 4 NEDs not included in the headcount. The SCS are secondees.,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
