Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Cabinet Office,Ministerial Department,Cabinet Office,172,166.54,313,304.69,469,461.13,740,728.52,237,231.75,178,175.1,"2,109","2,068",6,5.75,308,299.8,6,6,13,13,333,324.55,"2,442","2,392","£7,466,950.77","£401,030.02","£25,779.00","£86,590.63","£1,637,130.76","£759,570.44","£10,377,051.62","3,911,089.51","£3,239,290.48","£7,150,379.99","£17,527,431.61",,
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,2,1.56,5,5,3,2.8,4,4,1,1,1,1,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£43,968.23",£545.00,£0.00,£0.00,"£8,950.09","£3,823.89","£57,287.21",£0.00,£0.00,£0.00,"£57,287.21",,
Government Procurement Service,Executive Agency,Cabinet Office,25,23.6,85,82.2,223,218.7,128,126.8,9,9,0,0,470,460,17,17,13,13,0,0,0,0,30,30,500,490,"£1,534,591.00","£7,340.01",£0.00,£891.34,"£294,529.93","£137,353.94","£1,974,706.22","£149,392.12","£45,900.00","£195,292.12","£2,169,998.34",,
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,106,100,509,476,250,236,87,84,18,18,0,0,970,914,92,92,0,0,5,3,0,0,97,95,"1,067","1,009","£2,140,448.59","£53,298.19",£0.00,"£19,574.50","£386,802.75","£168,247.85","£2,768,371.88","£240,844.42",£0.00,"£240,844.42","£3,009,216.30",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
