Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,163,149.6833333,272,262.6885961,835,818.8737312,819,795.9845345,151,147.1305556,0,0,"2,240","2,174",16,16,0,0,78,78,0,0,94,94,"2,334","2,268","£8,442,197.27","£123,560.96","£136,744.07","£80,403.98","£1,841,748.06","£1,037,309.91","£11,661,964.25","£648,197.75","£4,955,374.77","£5,603,572.52","£17,265,536.77",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4308,3709.354595,843,789.6372973,777,740.9932432,214,204.8027027,8,8,0,0,"6,150","5,453",0,0,6,5.857142857,20,18.36,0,0,26,24.21714286,"6,176","5,477","£10,831,766.00","£74,610.00","£40,359.00","£70,835.00","£1,755,307.00","£942,178.00","£13,715,055.00","£357,581.00",£178.00,"£357,759.00","£14,072,814.00",
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1162,1073.7,2708,2550.44,710,694.72,89,87.77,5,5,0,0,"4,674","4,412",49,48.6,4,4,55,55,0,0,108,107.6,"4,782","4,519","£9,703,136.01","£642,495.12","£19,395.03","£212,628.08","£2,079,332.39","£1,027,964.76","£13,684,951.39","£689,467.80","£103,155.50","£792,623.30","£14,477,574.69",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,291,269.5,229,219.3,437,416.51,121,117.94,5,4.54,0,0,"1,083","1,028",28,28,0,0,0,0,0,0,28,28,"1,111","1,056","£2,636,471.03","£286,049.06","£3,750.00","£120,723.68","£595,268.26","£311,722.14","£3,953,984.17","£76,973.12",,"£76,973.12","£4,030,957.29",
Vehicle Certification Agency,Executive Agency,Department for Transport,36,31.66,33,30.48,74,71.4,9,9,1,1,0,0,153,144,3,3,0,0,0,0,0,0,3,3,156,147,"£448,199.00","£23,614.00","£4,500.00","£24,741.00","£88,616.00","£49,987.00","£639,657.00","£14,216.00",,"£14,216.00","£653,873.00",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,7,7,5,4.6,2,2,0,0,14,14,0,0,0,0,0,0,0,0,0,0,14,14,"£52,694.69","£3,670.95",,,"£5,904.35","£14,856.29","£77,126.28","£9,356.81","£10,332.00","£19,688.81","£96,815.09",
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,118,117.61,45,44.8,559,558.31,213,212.69,213,206.3,62,62,"1,210","1,202",232,232,121,121,0,0,0,0,353,353,"1,563","1,555","£6,884,302.77",£0.00,£0.00,"£11,643.31","£513,100.99","£668,970.31","£8,078,017.38","£3,141,622.82",,"£3,141,622.82","£11,219,640.20",
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,9.6,18,18,63,61.8,13,12.8,4,4,73,67.7,199,174,10,5.81,0,0,0,0,0,0,10,5.81,209,180,"£514,777.85","£7,227.41",£566.93,"£19,589.07","£109,504.99","£57,797.64","£709,463.89","£31,216.35",,"£31,216.35","£740,680.24",
