Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,110,104.44,747,717.99,1887,1821.74,1315,1254.28,176,165.61,,,4235,4064.06,58,43.19,,,57,57,,,115,100.19,4350,4164.25,,,,,,,0,,,0,0,"Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE.  In previous monthly workforce MI returns, only Hays agency staff were recorded.  From April 2012 onwards, agency staff from both Reed and Hays will be recorded and from May 2014 Brook Street information will be recorded."
Education & Skills Funding Agency ,Executive Agency,Department for Education,45,42.55,200,193.12,700,673.64,657,643.39,45,44.28,,,1647,1596.98,15,15,5,5,415,405,,,435,425,2082,2021.98,,,,,,,0,,,0,0,
Teaching Regulation Authority,Executive Agency,Department for Education,12,11.61,24,23.27,21,20.04,11,10.27,1,1,,,69,66.19,2,2,0,0,0,0,0,0,2,2,71,68.19,,,,,,,0,,,0,0,
Standards and Testing Agency,Executive Agency,Department for Education,1,1,20,19.57,73,71.48,29,27.76,4,3.92,,,127,123.73,3,3,0,0,16,12.31,1,0.3,20,15.61,147,139.34,,,,,,,0,,,0,0,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,4,4,3,3,12,11.4,8,7.6,3,2.8,,,30,28.8,,,,,,,,,0,0,30,28.8,110484.42,1272.04,,,24734.53,12238.4,148729.39,250,,250,148979.39,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,,,16,15,113,108,59,56,12,12,,,200,191,2,2,5,5,,,,,7,7,207,198,659493,13717,0,322,144438,73341,891311,44734,,44734,936045,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,371,337.9642857,592,577.2571429,296,291.5285714,21,20.71428571,6,6,,,1286,1233.464286,122,81.44,0,0,72,38.55,0,0,194,119.99,1480,1353.454286,3419281.58,187428.63,592601.33,39964.15,446697.88,431875.87,5117849.44,721151.13,0,721151.13,5839000.57,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,9,9,24,23,20,20,5,5,,,,,58,57,,,,,,,,,0,0,58,57,227934,22099,0,0,33605,26466,310104,,,0,310104,
Office for Students,Executive Non-Departmental Public Body,Department for Education,27,23,8,7,201,184,113,103,27,26,,,376,343,4,4,,,26,26,,,30,30,406,373,1162776.93,10069.06,0,4434.85,246729.88,125060.66,1549071.38,187911.05,,187911.05,1736982.43,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2056,1950.519,889,860.28109,191,187.15333,25,24.6,4,3.8,0,0,3165,3026.35342,2,2,0,0,25,25,0,0,27,27,3192,3053.35342,5878135.24,173133.48,8562.5,172306.99,680258.88,540730.38,7453127.47,214521.62,0,214521.62,7667649.09,
Institute for Apprenticeships,Executive Non-Departmental Public Body,Department for Education,5,5,5,5,22,21.5,56,51.85,6,5,,,94,88.35,5,5,,,,,,,5,5,99,93.35,372276.97,-132.1,,,77201.24,42108.83,491454.94,53744.12,,53744.12,545199.06,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,1,1,1,1,52,52,54,54,,,,,,,,,0,0,54,54,291422,,,,11722.92,30874.27,334019.19,,,0,334019.19,
