Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,30,29.55,262,255.38,688,669.35,658,629.74,132,127.35,,,1770,1711.37,32,31.98,,,11,10.61,,,43,42.59,1813,1753.96,"£6,157,211","£29,337","£69,775","£17,401","£1,681,431","£760,787","£8,715,942.79","£1,222,883",,"£1,222,883.00","£9,938,825.79",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,290,267.54,375,362.21,1963,1889.09,482,468.14,153,136.92,20,13.4,3283,3137.3,5,5,12,12,15,15,2,2,34,34,3317,3171.3,"£11,197,726","£83,761",0,"£72,242","£1,398,323","£1,229,184","£13,981,236.00",553004.86,,"£553,004.86","£14,534,240.86",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,9,9,404,383.6,782,753.5,1280,1240.7,200,189.5,,,2675,2576.3,246,221.8,126,115.1,7,7,,,379,343.9,3054,2920.2,"£10,392,642","£135,386",,"£19,657","£2,005,914","£1,264,816","£13,818,414.61",2725531.97,,"£2,725,531.97","£16,543,946.58",
Health Education England,Special Health Authority,Department of Health,92,86.74,657,613.53,670,636.83,586,555.11,960,345.19,0,0,2965,2237.4,,,,,,,,,0,0,2965,2237.4,"£8,652,044",87151.51,0,"£3,970","£1,030,852","£844,743","£10,618,760.26","£589,826",,"£589,825.59","£11,208,585.85",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,2,1,86,80.77,79,76.12,34,30.38,7,6.6,,,208,194.87,6,5.72,4,3.9,,,,,10,9.62,218,204.49,"£626,990",,,,"£77,175","£57,996","£762,161.08",,,£0.00,"£762,161.08",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,16,15.2,37,36.4,9,8.5,4,3.5,0,0,66,63.6,1,1,0,0,5,5,0,0,6,6,72,69.6,"£232,860",,,61.13,"£61,903","£26,385","£321,209.13","£53,413",,"£53,413.00","£374,622.13",
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,1,5,5,29,27.95,10,10,3,3,,,48,46.95,,,,,,,,,0,0,48,46.95,182345.31,338.33,0,196.37,23895.03,21843.47,"£228,618.51","£6,723",,"£6,723.00","£235,341.51",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,62,61.34,185,177.45,467,457.57,406,388.82,158,142.71,0,0,1278,1227.89,61,61,0,0,0,0,0,0,61,61,1339,1288.89,"£4,854,737","£23,759",3800,"£14,080","£1,313,328","£552,654","£6,762,358.00","£1,658,610",,"£1,658,610.00","£8,420,968.00",
Monitor,Executive Non-Departmental Public Body,Department of Health,8,7.8,6,5.6,23,22.8,70,67,31,29.6,0,0,138,132.8,2,2,0,0,1,1,,,3,3,141,135.8,"£929,261",,,,"£241,138","£109,044","£1,279,442.82",392454.56,,"£392,454.56","£1,671,897.38",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,15,93,88.12,261,245.97,246,229.45,66,61.93,2,1.2,683,641.67,11,7.93,,,0,0,,,11,7.93,694,649.6,"£2,477,023","£14,344",,174.91,"£340,216","£277,624","£3,109,381.91",,,£0.00,"£3,109,381.91",
