Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Agency Staff;
Headcount","Non-payroll staff;
Agency Staff;
Full-time equivalent","Non-payroll staff;
Interim managers;
Headcount","Non-payroll staff;
Interim managers;
Full-time equivalent","Non-payroll staff;
Specialist Contractors;
Headcount","Non-payroll staff;
Specialist Contractors;
Full-time equivalent","Non-payroll staff;
Consultants/consultancy;
Headcount","Non-payroll staff;
Consultants/consultancy;
Full-time equivalent","Non-payroll staff;
Total;
Headcount","Non-payroll staff;
Total;
Full-time equivalent","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour: agency staff, interim managers and specialist contractors","Non-Payroll staff costs;
Consultants/consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs,,,,,,,,
2021,November,Department for Education,Ministerial Department,Department for Education,89,83.8,777,753.5,"2,768","2,674.3","2,273","2,183.9",216,205.9,7,6.8,"6,130",5908,62,62.0,,,89,87.4,,,151,149,"6,281","6,057","£21,769,158.12","£465,087.37","£372,229.50","£62,438.71","£5,916,805.62","£2,524,040.20","£31,109,759.52","£1,569,408.33","£456,554.62","£2,025,962.95","£33,135,722.47",,,,,,,,
2021,November,Education & Skills Funding Agency ,Executive Agency,Department for Education,21,19.6,174,167.3,"1,004",967.9,583,569.0,41,40.0,,,"1,823",1764,,,,,1,1.0,,,1,1,"1,824","1,765","£5,957,653.00","£60,326.23","£48,800.00","£7,960.09","£1,652,173.55","£690,415.18","£8,417,328.05",£417.20,"£52,780.29","£53,197.49","£8,470,525.54",,,,,,,,
2021,November,Teaching Regulation Authority,Executive Agency,Department for Education,14,14.0,27,26.4,29,27.5,7,6.7,1,1.0,,,78,76,,,,,,,,,0,0,78,76,"£191,999.89","£1,366.57","£7,250.00",£0.00,"£50,899.49","£20,595.74","£272,111.69",£0.00,£0.00,£0.00,"£272,111.69",,,,,,,,
2021,November,Standards and Testing Agency,Executive Agency,Department for Education,0,0.0,10,9.8,70,65.9,33,31.8,4,4.0,,,117,111,,,,,,,1,1.0,1,1,118,112,"£400,428.68","£3,148.87","£1,450.00",£0.00,"£106,187.40","£44,788.05","£556,003.00",£0.00,£0.00,£0.00,"£556,003.00",,,,,,,,
2021,November,The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,,,1,1.0,16,14.8,7,6.6,4,4.0,,,28,26,2,2.0,,,,,,,2,2,30,28,"£126,126.70","£1,758.00",,,"£33,000.82","£14,433.71","£175,319.23","£14,033.48",,"£14,033.48","£189,352.71",,,,,,,,
2021,November,Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,49,44.0,330,326.3,245,242.0,18,17.8,5,5.0,1,0.2,648,635,4,4.0,1,1.0,,,,,5,5,653,640,"£2,032,437.20","£145,429.20",£0.00,"£12,629.13","£148,755.02","£217,935.12","£2,557,185.67","£118,173.23","£1,485.58","£119,658.81","£2,676,844.48",,,,,,,,
2021,November,Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,36,35.8,31,30.2,4,4,,,,,81,80,,,,,4,0.4,4,0.4,8,1,89,81,"£308,342.00","£38,811.00",£79.00,£0.00,"£42,855.00","£38,013.00","£428,100.00","£2,415.00","£3,850.00","£6,265.00","£434,365.00",,,,,,,,
2021,November,Office for Students,Executive Non-Departmental Public Body,Department for Education,17,16.2,7,6.4,183,170.1,145,133.1,43,41.1,,,395,367,13,13.0,,,2,2.0,,,15,15,410,382,"£1,382,009.00","£19,141.00",£0.00,£880.00,"£371,863.00","£145,656.00","£1,919,549.00","£61,332.00",,"£61,332.00","£1,980,881.00",,,,,,,,
2021,November,Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,"1,923","1,815.2","1,027","1,001.9",274,268.9,30,30.0,8,8.0,0,0.0,"3,262",3124,11,11.0,0,0.0,10,10.0,0,0.0,21,21,"3,283","3,145","£7,008,455.39","£165,621.55","£11,556.67","£292,383.29","£1,378,866.93","£686,849.22","£9,543,733.05","£200,000.53",£0.00,"£200,000.53","£9,743,733.58",,,,,,,,
2021,November,Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,5,5.0,8,8.0,97,95.4,145,142.7,13,12.2,,,268,263,8,8.0,,,,,,,8,8,276,271,"£995,319.94",,"£91,775.00",,"£285,554.47","£128,148.78","£1,500,798.19","£41,217.56",,"£41,217.56","£1,542,015.75",,,,,,,,
