Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Justice,Ministerial Department,Ministry of Justice,1071,1001.74,816,784.74,1598,1549.51,799,772.02,122,119.33,0,0,"4,406","4,227",182,181.1,19,19,161.5,150,0,0,362.5,350.1,"4,769","4,577","£13,722,373.28","£248,613.43","£18,693.06","£112,650.24","£1,540,021.22","£1,157,157.99","£16,799,509.22","£1,779,796.47","£513,784.46","£2,293,580.93","£19,093,090.15",,Internal Audit (Nov12) resulted in changes to Paybill and CCL costs having to be submitted.
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,14588,12744.13,3848,3581.22,3026,2820.36,739,721.73,39,38.92,0,0,"22,240","19,906",(..),228.5,0,0,0,0,0,0,0,228.5,"22,240","20,135"," 37,429,760.00 "," 571,311.00 "," 135,704.00 "," 246,912.00 "," 6,526,053.00 "," 2,508,084.00 ","£47,417,824.00"," 589,346.00 "," 61,459.35 ","£650,805.35","£48,068,629.35","Residential Properties Tribunal Service joined HMCTS on 1st July 2011.  Staff numbers are included however salaries for RPT are paid through DCLG payroll systems and therefore financial information is not currently available.
HMCTS are currently working towards bringing workforce reporting forward a month so that HMCTS can report FTE figures alongside financial figures.","Agency FTE has been provided although Headcount data is not available as it is not currently collected.
The staff costs are due to be invoiced by the parent department (DCLG) and once an understanding of the monthly cost is provided an accrual will be raised in future months where an invoice is outstanding. Seeking clarification from DCLG whether their July return has removed RPTS.  
The process for collection data on contingent workers is currently being reviewed by HMCTS and a plan is in place which will see the workforce planning tool populated with Phoenix data on the sixth working day following the data month with a return from the regions required by the 9th working day. This means that by working day 9 (September 11) we hope to have August FTEs and a confirmed August non payroll FTE, therefore we’ll be able to report agency staff figures for future months as required by the Cabinet Office."
Land Registry,Non-Ministerial Department,Ministry of Justice,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,Transferred to BIS 18.07.11,
National Archives,Executive Agency,Ministry of Justice,186,165.86,122,117.3,246,238.73,60,59.11,6,6,0,0,620,587,9,7.4,0,0,4,4,0,0,13,11.4,633,598,"£1,436,037.21","£6,366.84","£56,140.00","£10,531.30","£246,933.32","£136,938.43","£1,892,947.10","£17,211.34",(..),"£17,211.34","£1,910,158.44",,Paid £27k of compensations in July (not included in these figures). YTD cost is £42k.
National Offender Management Service,Executive Agency,Ministry of Justice,36315,34781.64482,7366,7067.021343,3347,3124.815286,684,665.4036005,45,45,(..),(..),"47,757","45,684",345,345,0,0,0,0,0,0,345,345,"48,102","46,029","£113,113,913.99",£0.00,£0.00,"£4,365,998.54","£20,837,420.64","£8,920,284.17","£147,237,617.34","£1,885,955.33",(..),"£1,885,955.33","£149,123,572.67",,Not able to provide breakdown of contingent workers. New system of data collection to capture the detail required is being developed. Where not known placed in Agency column. Not able to segregate Allowances and performance payments from Salary costs.  The monthly spend in July was higher than normal due to the backdated incremental pay adjustment for Phase 1 and non-phase 1 grades.
The Office of the Public Guardian,Executive Agency,Ministry of Justice,257,239.08,108,102.18,64,63.03,11,10.74,2,1.78,0,0,442,417,254,171.3,0,0,0,0,0,0,254,171.3,696,588,"£781,498.13","£24,353.36","£15,750.00","£41,934.29","£126,157.78","£62,231.76","£1,051,925.32","£407,197.12",£0.00,"£407,197.12","£1,459,122.44",,
UK Supreme Court,Non-Ministerial Department,Ministry of Justice,5,5,16,16,18,18,7,6.47,2,2,0,0,48,47,0,0,0,0,0,0,0,0,0,0,48,47,"£130,946.25",£206.43,£0.00,"£2,269.27","£25,618.08","£11,729.37","£170,769.40",£600.00,(..),£600.00,"£171,369.40",The salary costs for a SEO who joined UKSC on 27 June have not yet transferred from MoJ and therefore are not reflected in the total paybill for payroll staff for July.,
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,72,66.24,72,66,2,2,0,0,0,0,0,0,2,2,74,68,"£190,590.00",£33.00,(..),£536.00,"£35,632.00","£15,577.00","£242,368.00","£3,945.00",(..),"£3,945.00","£246,313.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles.",
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,352,322.29,352,322,4,3.54,0,0,0,0,1,0.4,5,3.94,357,326,"£728,542.00",£933.00,£0.00,"£4,491.00","£128,011.00","£47,799.00","£909,776.00","£12,101.00","£9,660.00","£21,761.00","£931,537.00",,
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,10,10,20,19.2,27,26.6,15,14.2,4,4,1,0.6,77,75,0,0,0,0,0,0,0,0,0,0,77,75,"£227,776.00","£1,931.00",(..),(..),"£42,919.00","£18,863.00","£291,489.00",(..),(..),£0.00,"£291,489.00",,
