Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,31,30.55,263,256.38,683,653.95,699,680,133,128.55,0,0,1809,1749.43,29,29,0,0,1,1,12,11.59,42,41.59,1851,1791.02,"£6,287,719","£23,529","£74,550","£26,785","£1,717,861","£763,296","£8,893,739.82","£1,858,256",,"£1,858,256.32","£10,751,996.14",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,231,213.96,432,414.87,1958,1885.7,483,471.33,146,139.12,13,13,3263,3137.98,2,2,13,13,15,15,2,2,32,32,3295,3169.98,"£11,120,940","£83,372",0,"£101,140","£1,414,349","£1,161,567","£13,881,368.00",542705,,"£542,705.00","£14,424,073.00",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,9,9,384,367,763,732.2,1253,1210.9,194,185.6,,,2603,2504.7,264,219.6,133,110.6,7,5.8,,,404,336,3007,2840.7,"£10,259,490","£465,942",,"£29,896","£2,007,748","£1,178,447","£13,941,522.90",3281503.22,,"£3,281,503.22","£17,223,026.12",
Health Education England,Special Health Authority,Department of Health,94,88.74,662,619.43,667,632.69,590,559.04,967,343.77,0,0,2980,2243.67,,,,,,,,,0,0,2980,2243.67,"£9,042,188",137853.95,,"£7,505","£1,071,433","£891,417","£11,150,397.03","£191,378",,"£191,377.60","£11,341,774.63",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,3,1.35,86,81.6,78,75.52,34,31.04,8,6.6,,,209,196.11,5,3.95,3,3,,,,,8,6.95,217,203.06,"£636,832",,,"£1,992","£79,152","£62,960","£780,936.05",,,£0.00,"£780,936.05",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,14,13.2,37,36.4,9,8.5,4,3.5,0,0,64,61.6,1,1,0,0,5,5,0,0,6,6,70,67.6,"£233,151",,,,"£62,506","£26,001","£321,658.70","£59,156",,"£59,156.00","£380,814.70",
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,1,4,4,29,28.08,10,10,3,3,,,47,46.08,,,,,,,,,0,0,47,46.08,187641.75,338.33,0,336.74,24896.17,21243.88,"£234,456.87","£3,192",,"£3,191.92","£237,648.79",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,63,62.34,186,178.45,462,452.29,404,387.19,160,144.51,0,0,1275,1224.78,57,57,0,0,0,0,0,0,57,57,1332,1281.78,"£4,814,004","£21,844",14500,"£4,794","£1,305,580","£541,849","£6,702,570.91","£722,729",,"£722,728.59","£7,425,299.50",
Monitor,Executive Non-Departmental Public Body,Department of Health,8,7.8,5,5,22,21.8,66,63.8,31,29.6,0,0,132,128,2,2,0,0,1,1,,,3,3,135,131,"£863,762",,,,"£237,698","£105,619","£1,207,078.95",4106.03,,"£4,106.03","£1,211,184.98",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,15,95,88.12,261,245.97,247,229.45,66,61.93,2,1.2,686,641.67,10,8.43,,,0,0,,,10,8.43,696,650.1,"£2,523,857","£18,287",,128.13,"£346,652","£283,592","£3,172,517.13","£100,557",,"£100,557.39","£3,273,074.52",
