Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,86,83.1,257,249.1,738,714.2,533,517.1,83,81.2,0,0.0,"1,697","1,645",10,10.0,1,1.0,34,26.4,2,2.0,47,39.41,"1,744","1,684","£5,265,579.98","£105,362.64","-£7,573.00","£14,816.59","£1,134,339.13","£468,490.74","£6,981,016.08","£184,153.00","£6,684.00","£190,837.00","£7,171,853.08",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,207,184.4,118,104.9,107,103.3,329,276.3,5,5.0,0,0.0,766,674,11,11,0,0,78,34.92,0,0,89,45.92,855,720,"£2,128,703.00","£61,355.00","£32,294.00","£4,085.00","£453,825.00","£189,106.00","£2,869,368.00","£268,615.00",£0.00,"£268,615.00","£3,137,983.00",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,12,12.0,23,23.0,5,5.0,1,1.0,0,0.0,45,45,4,4,0,0,0,0,3,3,7,7,52,52,"£139,584.85",£279.00,"£1,100.00",£537.21,"£29,128.97","£12,602.91","£183,232.94","£9,510.16","£3,610.00","£13,120.16","£196,353.10",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,140,131.5,307,300.1,335,326.7,81,79.1,64,63.7,0,0.0,927,901,0,0,12,11,6,6,0,0,18,17,945,918,"£3,450,946.95","£80,490.63",£0.00,"£4,277.27","£747,750.68","£330,508.49","£4,613,974.02","£109,120.00",£0.00,"£109,120.00","£4,723,094.02",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45,43.7,45,44,10,9.6,0,0,0,0,0,0,10,9.6,55,53.3,"£180,230.63",£80.35,£0.00,£206.25,"£36,309.78","£29,904.92","£246,731.93","£44,580.00",£0.00,"£44,580.00","£291,311.93",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.6,1,1.0,17,16.3,0,0.0,1,1.0,0,0.0,22,21,0,0,0,0,0,0,0,0,0,0,22,21,"£63,308.00",£0.00,£0.00,£0.00,"£6,177.00","£6,464.00","£75,949.00",£0.00,£0.00,£0.00,"£75,949.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.5,36,35.3,12,11.7,2,2.0,1,1.0,0,0.0,74,72,3,3,0,0,0,0,0,0,3,3,77,75,"£202,456.88","£1,401.82",£0.00,£0.00,"£31,500.24","£16,669.92","£252,028.86","£3,896.28",£0.00,"£3,896.28","£255,925.14",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,3.0,0,0.0,1,1.0,0,0.0,3,3.0,0,0.0,7,7,0,0,9,9,0,0,0,0,9,9,16,16,"£35,917.00",£0.00,£0.00,£0.00,"£5,388.00","£5,028.00","£46,333.00","£57,000.00",£0.00,"£57,000.00","£103,333.00",,
