Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,29,28.55,260,252.3,692,672.66,686,660.15,141,136.64,,,1808,1750.3,38,38,0,0,1,1,12,11.81,51,50.81,1859,1801.11,"£6,705,947","£24,039","£313,627","£286,983","£1,831,027","£863,924","£10,025,545.90","£1,849,252",,"£1,849,252.49","£11,874,798.39",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,227,209.97,435,416.93,1957,1884.32,501,487.32,154,139.12,14,12,3288,3149.66,5,5,13,13,14,14,2,2,34,34,3322,3183.66,"£11,252,715","£83,116",,"£18,290","£1,404,008","£1,146,909","£13,905,038.00",602980,,"£602,980.00","£14,508,018.00",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,9,9,383,360.7,748,715.1,1240,1197.2,201,182.9,,,2581,2464.9,282,251.1,142,132.2,6,5.9,,,430,389.2,3011,2854.1,"£10,213,201","£753,084",,"£41,339","£2,009,710","£1,288,312","£14,305,644.42",2920491,,"£2,920,491.00","£17,226,135.42",
Health Education England,Special Health Authority,Department of Health,95,89.3,686,638.82,664,628.43,601,566.82,990,355.79,0,0,3036,2279.16,,,,,,,,,0,0,3036,2279.16,"£9,112,750",27766.97,,"£8,665","£1,132,599","£905,582","£11,187,361.80","£239,691",,"£239,691.30","£11,427,053.10",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,3,1.42,85,81.6,79,76.52,35,32.41,7,6.6,,,209,198.55,3,2.75,4,3.75,,,,,7,6.5,216,205.05,"£643,141",,,,"£79,436","£63,025","£785,602.65",,,£0.00,"£785,602.65",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,16,15.2,38,37.4,9,8.5,4,3.5,0,0,67,64.6,1,1,0,0,5,5,0,0,6,6,73,70.6,"£229,994",,,,"£63,685","£25,749","£319,428.00","£53,653",,"£53,653.00","£373,081.00",The HFEA currently has 1 vacancy
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,1,4,4,28,27.81,10,10,3,3,,,46,45.81,0,0,0,0,0,0,0,0,0,0,46,45.81,195284.42,0,0,63.17,25982.36,22067.5,"£243,397.45","£9,962",,"£9,961.77","£253,359.22",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,57,56.61,187,179.37,454,444.61,413,395.89,158,141.95,0,0,1269,1218.43,52,52,0,0,0,0,0,0,52,52,1321,1270.43,"£4,975,602","£14,865",5400,"£9,990","£1,317,444","£555,170","£6,878,470.98","£937,338",,"£937,337.59","£7,815,808.57",
Monitor,Executive Non-Departmental Public Body,Department of Health,1,1,0,0,6,6,22,21.22778,9,8.63333,0,0,38,36.86111,0,0,0,0,0,0,0,0,0,0,38,36.86111,"£819,931",,,,"£236,372","£101,049","£1,157,352.00",3130.44,,"£3,130.44","£1,160,482.44",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,13,13,94,89.78,266,248.87,247,230.41,69,64.28,2,1.2,691,647.54,9,7.46,,,0,0,,,9,7.46,700,655,"£2,569,953","£6,934",,1019.55,"£526,004","£289,416","£3,393,326.52","£70,946",,"£70,946.12","£3,464,272.64",
