Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,83,80.0,258,250.0,731,707.1,541,524.6,81,78.8,0,0.0,"1,694","1,640",12,12.0,1,1.0,35,27.4,3,3.0,51,43.4,"1,745","1,684","£5,787,260.00","£102,504.41","£2,000.00","£72,562.45","£1,237,334.56","£561,239.22","£7,762,900.64","£246,456.00","£4,615.00","£251,071.00","£8,013,971.64",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,204,182.6,119,106.3,105,101.3,346,293.6,6,6.0,0,0.0,780,690,14,14,0,0,77,27.7,0,0,91,41.7,871,732,"£2,190,843.08","£73,099.08",£0.00,"£4,128.14","£462,212.06","£193,256.44","£2,923,538.80","£256,010.98",£0.00,"£256,010.98","£3,179,549.78",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,12,12.0,22,22.0,5,5.0,1,1.0,0,0.0,44,44,7,7,0,0,0,0,5,5,12,12,56,56,"£137,768.71","£1,079.00","£50,779.00","£9,166.52","£28,113.13","£20,287.03","£247,193.39","£21,913.03","£22,800.22","£44,713.25","£291,906.64",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,139,130.7,306,299.2,339,330.5,82,80.5,64,63.7,0,0.0,930,905,4,4,11,11,6,5.65,0,0,21,20.65,951,925,"£3,463,185.79","£104,212.52",£0.00,"£2,911.29","£755,523.72","£329,811.97","£4,655,645.29","£133,711.00",£0.00,"£133,711.00","£4,789,356.29",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,46.7,48,47,8,7.6,0,0,0,0,0,0,8,7.6,56,54.3,"£169,040.85",£80.35,£0.00,£468.27,"£34,774.83","£28,428.33","£232,792.63","£35,795.09",£0.00,"£35,795.09","£268,587.72",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1.0,16,15.3,0,0.0,1,1.0,0,0.0,22,21,0,0,0,0,0,0,0,0,0,0,22,21,"£68,536.00",£0.00,£0.00,£0.00,"£6,451.00","£6,907.00","£81,894.00",£0.00,£0.00,£0.00,"£81,894.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.6,35,34.5,12,11.7,2,2.0,1,1.0,0,0.0,73,71,6,6,0,0,0,0,0,0,6,6,79,77,"£197,091.66","£1,401.82",£0.00,£303.01,"£32,557.65","£16,272.30","£247,626.44","£14,927.90",£0.00,"£14,927.90","£262,554.34",,"We have temporarily recruited agency staff to carry out key permanent vacancies and to cover 2 maternity leavers. Due to recent staff turnover and absence, part-time staff in one area of the business have agreed to temporarily increase their hours."
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,3.0,0,0.0,1,1.0,4,4.0,4,4.0,0,0.0,12,12,0,0,6,6,0,0,0,0,6,6,18,18,"£55,782.00",£0.00,£0.00,£0.00,"£6,973.00","£7,809.00","£70,564.00","£82,155.00",£0.00,"£82,155.00","£152,719.00",,
