Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,118,111.99,746,718.14,2021,1955.68,1631,1560.8,180,173.15,,,4696,4519.76,69,68.03,1,1,212,212,,,282,281.03,4978,4800.79,13993034.31,278353.34,124800,47803.69,3453184.85,1911043,19808219.19,2707649,1484398,4192047,24000266.19,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,34,31.2,168,161.54,727,700.62,442,430.13,41,38.11,,,1412,1361.6,7,7,,,330,330,,,337,337,1749,1698.6,2444093.39,0,44215,4689.42,992642.58,502074,3987714.39,1524,248124,249648,4237362.39,
Teaching Regulation Authority,Executive Agency,Department for Education,11,11,21,20.27,21,19.65,8,7.87,1,1,,,62,59.79,2,2,0,0,0,0,0,0,2,2,64,61.79,151784.91,9191.87,0,170.57,32342.59,15142,208631.94,27869,0,27869,236500.94,
Standards and Testing Agency,Executive Agency,Department for Education,0,0,27,26.18,76,73.39,31,30.15,4,3.92,,,138,133.64,1,1,,,22,13.2,,,23,14.2,161,147.84,417532.42,11123.62,6750,2310.69,92709.4,47134,577560.13,-25265.27,-6432992.61,-6458257.88,-5880697.75,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1,1,1,14,12.8,10,9.6,3,2.8,,,29,27.2,,,,,,,,,0,0,29,27.2,115335.19,1813.15,,,24901.36,13259.6,155309.3,,,0,155309.3,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,,,13,13,112,107,58,54,12,12,,,195,186,1,1,2,2,,,,,3,3,198,189,728787.44,15134,76754,17,160638,83338,1064668.44,10975,,10975,1075643.44,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,356,324.42,590,576.63,300,295.75,23,22.71,6,6,0,0,1275,1225.51,98,59.7,0,0,79,44.1,2,1.5,179,105.3,1454,1330.81,3250832.16,195060.46,5135.25,31389.39,418843.05,334526.1,4235786.41,573758.61,3407,577165.61,4812952.02,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,30,29,24,23,5,5,,,,,69,67,,,,,,,,,0,0,69,67,251504,27184,0,0,33160,31672,343520,,,0,343520,
Office for Students,Executive Non-Departmental Public Body,Department for Education,24,20.97,5,4.29,169,153.32,108,98.21,27,26.61,,,333,303.4,22,22,,,22,22,,,44,44,377,347.4,1122005.07,13189.32,300999.44,5824.24,237709.93,159814.46,1839542.46,89342.39,,89342.39,1928884.85,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2091,1979.34952,961,929.3314933,199,194.7677333,27,26.6,5,5,0,0,3283,3135.048747,61,61,0,0,27,27,0,0,88,88,3371,3223.048747,6170663.17,190006.32,9682.25,248759.09,698633.58,579229.03,7896973.44,347879,0,347879,8244852.44,Headcount has increased due to planned inductions for operational staff
Institute for Apprenticeships,Executive Non-Departmental Public Body,Department for Education,4,4,7,7,34,33.5,80,78.39,9,9,,,134,131.89,9,8.2,,,,,,,9,8.2,143,140.09,532176.52,14101.63,1750,,113134.12,65644.31,726806.58,49028.28,,49028.28,775834.86,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,3,3,2,2,49,48.5,54,53.5,,,,,,,,,0,0,54,53.5,296575,,,,30294,11172.06,338041.06,,,0,338041.06,
