Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,68,65.2,194,189.8,647,627.3,489,475.5,78,75.4,0,0,"1,476","1,433",4,4,0,0,25,17.4,7,7,36,28.4,"1,512","1,462","£5,109,950.31","£110,147.82","£25,650.00","£57,340.36","£1,124,227.83","£593,644.08","£7,020,960.40","£183,395.00","£3,753.00","£187,148.00","£7,208,108.40",Staffing has reduced significantly during April due to over 200 staff leaving the Department through a Voluntary Exit scheme and a Machinery of Government transfer.,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,192,171,100,89.6,95,92.3,342,290.7,5,5,0,0,734,649,9,9,0,0,70,28.31,0,0,79,37.31,813,686,"£2,074,518.90","£49,545.78",£0.00,"£13,268.42","£445,916.98","£226,248.85","£2,809,498.93","£194,279.03",£0.00,"£194,279.03","£3,003,777.96",About 30 admin staff at EO grade and above left on VES at the end of March.,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,13,13,24,24,5,5,1,1,0,0,47,47,2,2,0,0,0,0,0,0,2,2,49,49,"£150,286.29",£726.00,£0.00,"£9,976.17","£31,548.94","£17,657.70","£210,195.10","£2,183.91",£0.00,"£2,183.91","£212,379.01",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,117,110.06,271,264.02,313,305.69,76,73.88,60,59.68,0,0,837,813,6,6,6,5.6,4,4,0,0,16,15.6,853,829,"£3,144,030.07","£110,041.78",£0.00,"£3,013.51","£693,078.55","£371,696.99","£4,321,860.90","£72,272.83",£0.00,"£72,272.83","£4,394,133.73",71 Leavers March 31 on VE Programme,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,47,46.4,47,46,11,10.5,0,0,0,0,0,0,11,10.5,58,57,"£174,548.29",£80.35,£0.00,"£1,254.92","£37,768.27","£19,625.07","£233,276.90","£29,859.00",£0.00,"£29,859.00","£263,135.90",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1,18,17.3,0,0,1,1,0,0,24,23,0,0,0,0,0,0,0,0,0,0,24,23,"£74,760.00",£0.00,£0.00,£0.00,"£6,235.00","£7,544.00","£88,539.00",£0.00,£0.00,£0.00,"£88,539.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.602,33,32.341,12,11.736,2,2,1,1,0,0,71,69,6,6,0,0,0,0,0,0,6,6,77,75,"£193,676.36","£1,384.49",£0.00,£642.48,"£30,525.97","£19,460.06","£245,689.36",£0.00,£0.00,£0.00,"£245,689.36",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,4,3,2.8,2,2,7,7,3,3,0,0,19,19,0,0,6,4.6,0,0,0,0,6,4.6,25,23,"£78,040.00",£417.00,£0.00,£0.00,"£9,081.00","£8,905.00","£96,443.00","£65,475.00",£0.00,"£65,475.00","£161,918.00",,
