Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,45,44.16,256,247.61,586,569.7,586,562.09,131,125.91,1,1,1605,1550.47,40,40,0,0,4,3.5,29,28.61,73,72.11,1678,1622.58,5582375.33,8567.02,70363.89,12520.19,1187850.71,660644.28,7522321.42,1461590,0,1461590,8983911.42,0
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,309,287.49,393,381.47,2006,1937.18,465,455.28,151,136.38,24,22.8,3348,3220.6,5,5,0,0,0,0,0,0,5,5,3353,3225.6,11088945,85924,0,113657,1383223,1179274,13851023,42687,0,42687,13893710,0
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,6,6,427,402.5,836,805.7,1435,1391.6,218,203.5,0,0,2922,2809.3,189,160,28,23.1,46,39,0,0,263,222.1,3185,3031.4,11214543,150976,0,14687,1483309,1296160,14159675,1423173,0,1423173,15582848,0
Health Education England,Special Health Authority,Department of Health,106,99.77,682,635.37,639,599.98,554,517.55,884,312.64,0,0,2865,2165.31,124,105.41,2,1.1,0,0,0,0,126,106.51,2991,2271.82,7930517.9,119101.19,0,2751.61,951926.97,795555.52,9799853.19,475478,0,475478,10275331.19,0
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,5,2.49,86,81.87,70,67.59,37,34.05,6,6,0,0,204,192,12,9.67,1,0.75,0,0,0,0,13,10.42,217,202.42,619565.55,0,0,2103.21,78708.51,63121.49,763498.76,43881,0,43881,807379.76,0
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,16,15.2,38,36.4,8,7.75,3,3,0,0,65,62.35,2,2,0,0,5,5,0,0,7,7,72,69.35,226899,0,0,0,48173,25957,301029,85305,0,85305,386334,0
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,1.5,5,5,27,27,10,10,3,3,0,0,47,46.5,0,0,0,0,0,0,0,0,0,0,47,46.5,177778.56,0,0,523.24,22707.37,19943.75,220952.92,3031,0,3031,223983.92,0
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,62,61.34,179,176.67,496,496,393,379.27,162,146.12,0,0,1292,1259.4,16,16,4,4,2,2,0,0,22,22,1314,1281.4,4906793.14,28518.24,59700,3591.04,1053713.51,562283.34,6614599.27,594222,0,594222,7208821.27,0
Monitor,Executive Non-Departmental Public Body,Department of Health,11,10.8,20,19.6,64,63,186,180.6102778,41,39.00555556,0,0,322,313.0158333,7,7,0,0,6,6,1,1,14,14,336,327.0158333,1270791.04,0,0,0,418454.74,228319.35,1917565.13,78790,0,78790,1996355.13,0
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,15,84,80.37,249,232.64,244,225.68,60,53.65,3,1.8,655,609.14,10,5.41,0,0,1,0.75,0,0,11,6.16,666,615.3,2361313.91,17254.25,0,1176.01,313156.55,265030.94,2957931.66,33189,0,33189,2991120.66,0
NHS Blood & Transplant,Special Health Authority,Department of Health,2052,1659.45,1114,1028.3,1522,1406.22,540,526.91,64,61.3,49,44.7,5341,4726.88,33,33,4,4,5,5,0,0,42,42,5383,4768.88,12561083.14,844565.871,0,273127.8226,1763864.02,1384373.02,16827013.87,168782,0,168782,16995795.87,0
NHS Business Services Authority,Special Health Authority,Department of Health,1875,1658.27,532,505.38,327,320.22,203,194.19,55,55,0,0,2992,2733.06,64,64,0,0,0,0,37,37,101,101,3093,2834.06,5553526.26,13233.75,124397.13,78948.6,679182.17,501380.73,6950668.64,557417,0,557417,7508085.64,0
NHS England,Special Health Authority,Department of Health,549,506.8365,622,593.3533,1629,1568.6755,2803,2688.462,795,744.5032,154,72.8391,6552,6174.6696,335,320.62668,61,33.01013,0,0,0,0,396,353.63681,6948,6528.30641,26341232.92,0,0,0,3351213.51,2985993.09,32678439.52,1988224,0,1988224,34666663.52,0
